序,年份,文章标题,导师论文署名单位,论文对应经历阶段,统一研究主题,研究问题,采用方法,应用领域,证据位置,未完成事项序号
107,2022,Lexical Knowledge Internalization for Neural Dialog Generation,香港大学；上海人工智能实验室,阶段待核验（双单位署名，上海人工智能实验室任职起止未公开）,支持性对话,对话模型如何把词汇知识融入内部参数？,用维基百科弱监督训练对比式词元知识检索器，再进行知识内化。,支持性对话,"论文信息汇总.csv 序107：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_Lexical Knowledge Internalization for Neural Dialog Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.acl-long.547/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“We propose knowledge internalization (KI), which aims to complement the lexical knowledge into neural dialog models. Instead of further conditioning the knowledge-grounded dialog (KGD) models on exter”。",P107-C;P107-A
108,2022,ABC: Attention with Bounded-memory Control,香港大学,香港大学；助理教授；2020-至今,高效注意力与序列架构,注意力内存如何固定大小而尽量保留建模能力？,ABC把高效注意力统一为有界内存控制，并学习上下文化的内存组织。,高效注意力与序列架构,"论文信息汇总.csv 序108：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_ABC_ Attention with Bounded-memory Control.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.acl-long.515/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“Transformer architectures have achieved state- of-the-art results on a variety of natural language processing (NLP) tasks. However, their attention mechanism comes with a quadratic complexity in seque”。",P108-C;P108-R
109,2022,cosFormer: Rethinking Softmax In Attention,香港大学；上海人工智能实验室,阶段待核验（双单位署名，上海人工智能实验室任职起止未公开）,高效注意力与序列架构,线性注意力如何保留softmax的非负性与集中分布？,cosFormer结合线性算子和余弦距离重加权。,高效注意力与序列架构,"论文信息汇总.csv 序109：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_cosFormer_ Rethinking Softmax In Attention.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2202.08791；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2022”。
原文摘要依据：“Transformer has shown great successes in natural language processing, computer vision, and audio processing. As one of its core components, the softmax attention helps to capture long-range dependenci”。",P109-C;P109-A
110,2022,Revisiting Over-smoothing in BERT from the Perspective of Graph,香港大学,香港大学；助理教授；2020-至今,句法分析与结构化表示,BERT层数增加后的表示过平滑由什么引起？,从图传播角度分析层归一化，并自适应融合不同层表示。,句法分析与结构化表示,"论文信息汇总.csv 序110：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_Revisiting Over-smoothing in BERT from the Perspective of Graph.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2202.08625；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2022”。
原文摘要依据：“Recently over-smoothing phenomenon of Transformer-based models is observed in both vision and language fields. However, no existing work has delved deeper to further investigate the main cause of this”。",P110-C;P110-A;P110-R
131,2022,SNCSE: Contrastive Learning for Unsupervised Sentence Embedding with Soft Negative Samples,香港大学,香港大学；助理教授；2020-至今,句法分析与结构化表示,句子嵌入如何区分表面相似和语义相似？,以否定句构造软负样本，并加入双向边界损失。,句法分析与结构化表示,"论文信息汇总.csv 序131：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_SNCSE_ Contrastive Learning for Unsupervised Sentence Embedding with Soft Negative Samples.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2201.05979；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Unsupervised sentence embedding aims to obtain the most appropriate embedding for a sentence to reflect its semantic. Contrastive learning has been attracting developing attention. For a sentence, cur”。",P131-C;P131-R
132,2022,Language Models Can See: Plugging Visual Controls in Text Generation,待核验,阶段待核验,可控文本生成与一致性,无需再训练的语言模型如何接受图像引导？,MAGIC将CLIP图文分数加入文本解码，约束语义与上下文连贯。,可控文本生成与一致性,"论文信息汇总.csv 序132：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2205.02655；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Generative language models (LMs) such as GPT-2/3 can be prompted to generate text with remarkable quality. While they are designed for text-prompted generation, it remains an open question how the gen”。",P132-C;P132-D;P132-A;P132-R
10,2023,Linearized Relative Positional Encoding,香港大学,香港大学；助理教授；2020-至今,高效注意力与序列架构,相对位置编码如何保留线性Transformer的复杂度优势？,以规范形式和酉变换构造LRPE编码族。,高效注意力与序列架构,"论文信息汇总.csv 序10：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Linearized Relative Positional Encoding.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2307.09270；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Relative positional encoding is widely used in vanilla and linear transformers to represent positional information. However, existing encoding methods of a vanilla transformer are not always directly ”。",P10-C;P10-A;P10-F
11,2023,Vicinity Vision Transformer,待核验,阶段待核验,高效注意力与序列架构,高分辨率视觉Transformer如何降低注意力的二次开销？,按二维曼哈顿距离加入局部偏置，并降低特征维度。,高效注意力与序列架构,"论文信息汇总.csv 序11：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2206.10552；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Vision transformers have shown great success on numerous computer vision tasks. However, its central component, softmax attention, prohibits vision transformers from scaling up to high-resolution imag”。",P11-C;P11-D;P11-A;P11-R;P11-F
74,2023,Can Language Models Understand Physical Concepts?,待核验,阶段待核验,视觉语言理解,语言模型是否理解物体材料、质量和温度等物理概念？,构建VEC基准，比较语言与视觉增强模型，并蒸馏具身知识。,视觉语言理解,"论文信息汇总.csv 序74：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2023.emnlp-main.726/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Language models (LMs) gradually become general-purpose interfaces in the interactive and embodied world, where the understanding of physical concepts is an essential prerequisite. However, it is uncle”。",P74-C;P74-D;P74-A;P74-R
75,2023,DetGPT: Detect What You Need via Reasoning,待核验,阶段待核验,视觉语言理解,目标检测如何根据用户意图寻找未明确命名的物体？,DetGPT连接多模态推理与开放词汇检测器。,视觉语言理解,"论文信息汇总.csv 序75：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2023.emnlp-main.876/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“In recent years, the field of computer vision has seen significant advancements thanks to the development of large language models (LLMs). These models have enabled more effective and sophisticated in”。",P75-C;P75-D;P75-A;P75-R
76,2023,Generating Data for Symbolic Language with Large Language Models,香港大学,香港大学；助理教授；2020-至今,任务数据合成,结构化输出任务的昂贵标注如何由大模型生成？,SymGen以信息丰富的提示生成符号语言数据，再用一致性验证器筛选。,任务数据合成,"论文信息汇总.csv 序76：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Generating Data for Symbolic Language with Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.emnlp-main.523/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pages 8418–8443”。
原文摘要依据：“While large language models (LLMs) bring not only performance but also complexity, recent work has started to turn LLMs into data generators rather than task inferencers, where another affordable task”。",P76-C;P76-R
77,2023,DiffuSeq-v2: Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models,香港大学,香港大学；助理教授；2020-至今,扩散文本生成,序列到序列扩散如何降低训练与采样开销？,引入软吸收状态连接离散变化与高斯空间，并使用ODE求解器。,扩散文本生成,"论文信息汇总.csv 序77：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_DiffuSeq-v2_ Bridging Discrete and Continuous Text Spaces for Accelerated Seq2Seq Diffusion Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.findings-emnlp.660/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Diffusion models have gained prominence in generating high-quality sequences of text. Nevertheless, current approaches predominantly represent discrete text within a continuous diffusion space, which ”。",P77-C;P77-R
78,2023,GIM- LET: A Unified Graph-Text Model for Instruction-Based Molecule Zero-Shot Learning,待核验,阶段待核验,分子零样本学习,分子属性标注不足时，能否用自然语言指令完成新任务？,GIMLET以统一位置编码和解耦注意力共同建模分子图与指令。,分子零样本学习,"论文信息汇总.csv 序78：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2306.13089；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Molecule property prediction has gained significant attention in recent years. The main bottleneck is the label insufficiency caused by expensive lab experiments. In order to alleviate this issue and ”。",P78-C;P78-D;P78-A;P78-R;P78-F
79,2023,Statistical Knowledge Assessment for Generative Language Models,香港大学,香港大学；助理教授；2020-至今,模型评价与奖励学习,如何衡量模型面对不同问法时仍可靠掌握的事实知识？,KaRR比较多样提示下的正确实体生成概率与随机生成概率。,模型评价与奖励学习,"论文信息汇总.csv 序79：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Statistical Knowledge Assessment for Generative Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2305.10519；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Given varying prompts regarding a factoid question, can a large language model (LLM) reliably generate factually correct answers? Existing LLMs may generate distinct responses for different prompts. I”。",P79-C;P79-R;P79-F
80,2023,Attentive Multi-Layer Perceptron for Non-autoregressive Generation,待核验,阶段待核验,高效注意力与序列架构,非自回归生成如何摆脱注意力的二次复杂度？,AMLP用依输入生成的自适应投影代替静态MLP投影。,高效注意力与序列架构,"论文信息汇总.csv 序80：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2310.09512；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Autoregressive~(AR) generation almost dominates sequence generation for its efficacy. Recently, non-autoregressive~(NAR) generation gains increasing popularity for its efficiency and growing efficacy.”。",P80-C;P80-D;P80-A;P80-R;P80-F
81,2023,Self-Adaptive In-Context Learning: An Information Compression Perspective for In-Context Example Selection and Ordering,香港大学,香港大学；助理教授；2020-至今,上下文示例选择,不同输入应如何选择并排序上下文示例？,以自适应的先选择后排序框架组织示例。,上下文示例选择,"论文信息汇总.csv 序81：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Self-Adaptive In-Context Learning_ An Information Compression Perspective for In-Context Example Selection and Ordering.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.acl-long.79/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
PDF发表标记：“Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“Despite the surprising few-shot performance of in-context learning (ICL), it is still a common practice to randomly sample examples to serve as context. This paper advocates a new principle for ICL: s”。",P81-C;P81-R
82,2023,Explanation Regeneration via Information Bottleneck,待核验,阶段待核验,解释生成,如何让模型给出的自然语言解释既充分又简洁？,EIB用信息瓶颈目标重新生成初次提示产生的解释。,解释生成,"论文信息汇总.csv 序82：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2023.findings-acl.765/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Explaining the black-box predictions of NLP models naturally and accurately is an important open problem in natural language generation. These free-text explanations are expected to contain sufficient”。",P82-C;P82-D;P82-A;P82-R
83,2023,Lego-MT: Learning Detachable Models for Massively Multilingual Machine Translation,香港大学,香港大学；助理教授；2020-至今,机器翻译,大规模多语言翻译如何减少语言间参数干扰和推理成本？,Lego-MT使用可拆卸语言分支与统一表征训练方案。,机器翻译,"论文信息汇总.csv 序83：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Lego-MT_ Learning Detachable Models for Massively Multilingual Machine Translation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.findings-acl.731/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Multilingual neural machine translation (MNMT) aims to build a unified model for many language directions. Existing monolithic models for MNMT encounter two challenges: parameter interference among la”。",P83-C;P83-R
84,2023,INK: Injecting kNN Knowledge in Nearest Neighbor Machine Translation,香港大学,香港大学；助理教授；2020-至今,机器翻译,近邻翻译如何在平滑表示空间的同时减少推理开销？,INK训练少量参数调整近邻表示，并异步刷新检索库。,机器翻译,"论文信息汇总.csv 序84：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_INK_ Injecting kNN Knowledge in Nearest Neighbor Machine Translation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.acl-long.888/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Neural machine translation has achieved promising results on many translation tasks. However, previous studies have shown that neural models induce a non-smooth representation space, which harms its g”。",P84-C;P84-R
85,2023,A Cognitive Stimulation Dialogue System with Multi-source Knowledge Fusion for Elders with Cognitive Impairment,香港大学,香港大学；助理教授；2020-至今,支持性对话,认知受损老年人的对话系统如何结合认知刺激和情绪支持？,构建中文CSConv，并融合治疗原则与情绪支持策略生成回答。,支持性对话,"论文信息汇总.csv 序85：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_A Cognitive Stimulation Dialogue System with Multi-source Knowledge Fusion for Elders with Cognitive Impairment.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.acl-long.593/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
PDF发表标记：“Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics”。
原文摘要依据：“When communicating with elders with cognitive impairment, cognitive stimulation (CS) help to maintain the cognitive health of elders. Data sparsity is the main challenge in building CS-based dialogue ”。",P85-C;P85-R
86,2023,SORTIE: Dependency-Aware Symbolic Reasoning for Logical Data-to-text Generation,香港大学,香港大学；助理教授；2020-至今,可控文本生成与一致性,表格描述如何避免复杂逻辑推理导致的不忠实内容？,SORTIE使用表格编程语言与实体依赖调度完成符号推理。,可控文本生成与一致性,"论文信息汇总.csv 序86：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_SORTIE_ Dependency-Aware Symbolic Reasoning for Logical Data-to-text Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2023.findings-acl.715/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Logical data-to-text generation is a representative task in measuring the capabilities of both language generation and complex reasoning. Despite the introduction of reasoning skills in generation, ex”。",P86-C
87,2023,Compositional Exemplars for In-context Learning,香港大学,香港大学；助理教授；2020-至今,上下文示例选择,示例集合如何兼顾与输入的相关性及组合互补性？,CEIL用行列式点过程建模子集，并以对比目标学习模型偏好。,上下文示例选择,"论文信息汇总.csv 序87：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Compositional Exemplars for In-context Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.05698；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
PDF发表标记：“Proceedings of the 40 th International Conference on Machine       7 distinct tasks, including sentiment analysis, paraphrase”。
原文摘要依据：“Large pretrained language models (LMs) have shown impressive In-Context Learning (ICL) ability, where the model learns to do an unseen task via a prompt consisting of input-output examples as the demo”。",P87-C
88,2023,CAB: Comprehensive Attention Benchmarking on Long Sequence Modeling,香港大学,香港大学；助理教授；2020-至今,高效注意力与序列架构,高效注意力的评测是否覆盖真实任务中的不同注意力形式？,CAB按因果与非因果、自注意力与交叉注意力建立四类任务评测。,高效注意力与序列架构,"论文信息汇总.csv 序88：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_CAB_ Comprehensive Attention Benchmarking on Long Sequence Modeling.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2210.07661；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Proceedings of the 40 th International Conference on Machine           causality modeling. We present four patterns of attentions,”。
原文摘要依据：“Transformer has achieved remarkable success in language, image, and speech processing. Recently, various efficient attention architectures have been proposed to improve transformer's efficiency while ”。",P88-C
89,2023,Fine-grained Audible Video Description,待核验,阶段待核验,音视频分割与描述,如何生成包含物体、位置、动作与声音细节的视频描述？,建立中英文FAVDBench，结合音视频语言Transformer和两类生成损失。,音视频分割与描述,"论文信息汇总.csv 序89：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2303.15616；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“We explore a new task for audio-visual-language modeling called fine-grained audible video description (FAVD). It aims to provide detailed textual descriptions for the given audible videos, including ”。",P89-C;P89-D;P89-A;P89-R;P89-F
90,2023,Efficient Attention via Control Variates,香港大学,香港大学；助理教授；2020-至今,高效注意力与序列架构,随机特征注意力与精确softmax注意力的误差如何缩小？,将随机特征近似分解为控制变量估计器，并改进控制变量形式。,高效注意力与序列架构,"论文信息汇总.csv 序90：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Efficient Attention via Control Variates.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.04542；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2023”。
原文摘要依据：“Random-feature-based attention (RFA) is an efficient approximation of softmax attention with linear runtime and space complexity. However, the approximation gap between RFA and conventional softmax at”。",P90-C;P90-R
91,2023,Self-Guided Noise-Free Data Generation for Efficient Zero-Shot Learning,待核验,阶段待核验,任务数据合成,零样本学习如何处理合成训练数据中的噪声？,SunGen以抗噪重加权自动学习样本质量，不依赖人工标签。,任务数据合成,"论文信息汇总.csv 序91：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2205.12679；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“There is a rising interest in further exploring the zero-shot learning potential of large pre-trained language models (PLMs). A new paradigm called data-generation-based zero-shot learning has achieve”。",P91-C;P91-D;P91-A;P91-R;P91-F
92,2023,Toeplitz Neural Network for Sequence Modeling,香港大学,香港大学；助理教授；2020-至今,高效注意力与序列架构,序列模型如何降低复杂度并支持长度外推？,使用相对位置编码的Toeplitz矩阵与快速矩阵向量乘法。,高效注意力与序列架构,"论文信息汇总.csv 序92：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Toeplitz Neural Network for Sequence Modeling.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2305.04749；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2023”。
原文摘要依据：“Sequence modeling has important applications in natural language processing and computer vision. Recently, the transformer-based models have shown strong performance on various sequence modeling tasks”。",P92-C;P92-A
93,2023,DiffuSeq: Sequence to Sequence Text Generation with Diffusion Models,香港大学,香港大学；助理教授；2020-至今,扩散文本生成,离散文本的条件生成如何适配扩散建模？,DiffuSeq针对序列到序列任务设计文本扩散模型。,扩散文本生成,"论文信息汇总.csv 序93：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_DiffuSeq_ Sequence to Sequence Text Generation with Diffusion Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2210.08933；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2023”。
原文摘要依据：“Recently, diffusion models have emerged as a new paradigm for generative models. Despite the success in domains using continuous signals such as vision and audio, adapting diffusion models to natural ”。",P93-C;P93-R
94,2023,Unsupervised Explanation Generation via Correct Instantiations,香港大学；上海人工智能实验室,阶段待核验（双单位署名，上海人工智能实验室任职起止未公开）,解释生成,没有解释标注时，如何说明一句话为什么错误？,Neon先生成正确实例，再据此寻找冲突点并产生解释。,解释生成,"论文信息汇总.csv 序94：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Unsupervised Explanation Generation via Correct Instantiations.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2211.11160；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
原文摘要依据：“While large pre-trained language models (PLM) have shown their great skills at solving discriminative tasks, a significant gap remains when compared with humans for explanation-related tasks. Among th”。",P94-C;P94-A;P94-F
133,2023,Audio-Visual Segmentation with Semantics,待核验,阶段待核验,音视频分割与描述,音视频分割如何从发声区域扩展到物体语义类别？,在AVSBench中增加语义标签子集，并使用音画交互和正则化。,音视频分割与描述,"论文信息汇总.csv 序133：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2301.13190；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We propose a new problem called audio-visual segmentation (AVS), in which the goal is to output a pixel-level map of the object(s) that produce sound at the time of the image frame. To facilitate this”。",P133-C;P133-D;P133-A;P133-R
134,2023,In-Context Learning with Many Demonstration Examples,香港大学；上海人工智能实验室,阶段待核验（双单位署名，上海人工智能实验室任职起止未公开）,上下文示例选择,更多演示样例能否继续提高上下文学习表现？,用高效Transformer构建长上下文EVALM，并扩展指令训练和样例数量。,上下文示例选择,"论文信息汇总.csv 序134：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_In-Context Learning with Many Demonstration Examples.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.04931；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large pre-training language models (PLMs) have shown promising in-context learning abilities. However, due to the backbone transformer architecture, existing PLMs are bottlenecked by the memory and co”。",P134-C;P134-A
135,2023,TTIDA: Controllable Generative Data Augmentation via Text-to-Text and Text-to-Image Models,待核验,阶段待核验,任务数据合成,低资源视觉任务如何获得多样且可控的增强数据？,TTIDA先生成详细文本，再以文本到图像模型生成带标签图像。,任务数据合成,"论文信息汇总.csv 序135：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2304.08821；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Data augmentation has been established as an efficacious approach to supplement useful information for low-resource datasets. Traditional augmentation techniques such as noise injection and image tran”。",P135-C;P135-D;P135-A;P135-R
136,2023,Optimizing Non-Autoregressive Transformers with Contrastive Learning,香港大学,香港大学；助理教授；2020-至今,可控文本生成与一致性,非自回归生成如何学习多模态目标分布？,从模型分布采样，并加入对比约束稳定训练。,可控文本生成与一致性,"论文信息汇总.csv 序136：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Optimizing Non-Autoregressive Transformers with Contrastive Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2305.13667；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Non-autoregressive Transformers (NATs) reduce the inference latency of Autoregressive Transformers (ATs) by predicting words all at once rather than in sequential order. They have achieved remarkable ”。",P136-C;P136-R
