合作者姓名,论文标题,年份,角色,关键词,是否与目标导师合著,来源及核验依据
Chang Ma,Empowering Large Language Model Agents through Action Learning,2024,其他作者（共同一作/通讯待核验）,分析提取：动作学习；经验学习；Python函数；智能体；试错,是,"论文信息汇总.csv 序56：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Empowering Large Language Model Agents through Action Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.15809；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large Language Model (LLM) Agents have recently garnered increasing interest yet they are limited in their ability to learn from trial and error, a key element of intelligent behavior. In this work, w”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chang Ma,Achilles-Bench: A Challenging Benchmark for Low-Resource Evaluation,2024,其他作者（共同一作/通讯待核验）,分析提取：低资源学习；困难样本；鲁棒性；基准偏差；模型评测,是,"论文信息汇总.csv 序65：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.findings-acl.123/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“With promising yet saturated results in high-resource settings, low-resource datasets have gradually become crucial benchmarks (e.g., BigBench Hard, superGLUE) for evaluating the learning ability of a”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chang Ma,"A Survey of Neural Code Intelligence: Paradigms, Advances and Beyond",2024,其他作者（共同一作/通讯待核验）,分析提取：代码智能；综述；程序理解；代码生成；模型评测,是,"论文信息汇总.csv 序144：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2403.14734；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Neural Code Intelligence -- leveraging deep learning to understand, generate, and optimize code -- holds immense potential for transformative impacts on the whole society. Bridging the gap between Nat”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Chang Ma,A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,2025,其他作者（共同一作/通讯待核验）,分析提取：社会智能；博弈；偏好；信念；评价协议,是,"论文信息汇总.csv 序8：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2412.03920；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (05/2025)”。
原文摘要依据：“Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chang Ma,Language Model Non-Myopic Generation for Reasoning and Planning,2025,一作（按作者顺序）,分析提取：非短视生成；模型预测控制；前瞻轨迹；规划；解码,是,"论文信息汇总.csv 序42：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Language Model Non-Myopic Generation for Reasoning and Planning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.17195；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Large Language Models have demonstrated remarkable abilities in reasoning and planning by breaking down complex problems into sequential steps. Despite their success in various domains like mathematic”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chang Ma,BioMaze: Benchmarking and Enhancing Large Language Models for Biological Pathway Reasoning,2025,其他作者（共同一作/通讯待核验）,分析提取：生物通路；系统扰动；图推理；子图导航；智能体,是,"论文信息汇总.csv 序151：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_BioMaze_ Benchmarking and Enhancing Large Language Models for Biological Pathway Reasoning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2502.16660；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The applications of large language models (LLMs) in various biological domains have been explored recently, but their reasoning ability in complex biological systems, such as pathways, remains underex”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Chang Ma,ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,其他作者（共同一作/通讯待核验）,分析提取：科学工作流；计算机智能体；多模态；任务评测；专业软件,是,"论文信息汇总.csv 序16：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2505.19897；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Large Language Models (LLMs) have extended their impact beyond Natural Language Processing, substantially fostering the development of interdisciplinary research. Recently, various LLM-based agents ha”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Chang Ma,Orion: Towards Lab Automation with Computer-Using Agents,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://chang-github-00.github.io/-changma/；论文链接https://chang-github-00.github.io/-changma/；访问2026-09-17；可见作者原文：“Chang Ma*, Linh T. Trinh*, Matt Bucci, Aviv Regev, Hanchen Wang”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Chang Ma,Certified Robustness Against Natural Language Attacks by Causal Intervention,2022,共同一作标记待核验,未公开（未获得可支持关键词提取的摘要）,否,"https://chang-github-00.github.io/-changma/；论文链接https://arxiv.org/pdf/2205.12331.pdf；访问2026-09-17；可见作者原文：“Haiteng Zhao*, Chang Ma*, Xinshuai Dong*, Anh Tuan Luu, Zhi-Hong Deng, Hanwang Zhang”；共同一作标记待核验。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Jing Xiong,UncertaintyRAG: Span-Level Uncertainty Enhanced Long-Context Modeling for Retrieval-Augmented Generation,2024,共同一作,分析提取：RAG；片段不确定性；信噪比；检索模型；分布变化,是,"论文信息汇总.csv 序147：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_UncertaintyRAG_ Span-Level Uncertainty Enhanced Long-Context Modeling for Retrieval-Augmented Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.02719；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“We present UncertaintyRAG, a novel approach for long-context Retrieval-Augmented Generation (RAG) that utilizes Signal-to-Noise Ratio (SNR)-based span uncertainty to estimate similarity between text c”。
；共同一作；预印本，等级不适用。"
Jing Xiong,Autoregressive Models in Vision: A Survey,2025,一作（按作者顺序）,分析提取：自回归；视觉生成；像素；词元；多尺度,是,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jing Xiong,UNComp: Can Matrix Entropy Uncover Sparsity? — A Compressor Design from an Uncertainty-Aware Perspective,2025,一作（按作者顺序）,分析提取：长上下文；KV缓存；矩阵熵；不确定性；自适应压缩,是,"论文信息汇总.csv 序29：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_UNComp_ Can Matrix Entropy Uncover Sparsity_ — A Compressor Design from an Uncertainty-Aware Perspective.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.emnlp-main.209/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing, pages 4179–4199”。
原文摘要依据：“Deploying large language models (LLMs) for long-context inference remains challenging due to their substantial memory and computational demands. While techniques such as Key-Value (KV) cache compressi”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jing Xiong,ParallelComp: Parallel Long-Context Compressor for Length Extrapolation,2025,一作（按作者顺序）,分析提取：上下文外推；并行压缩；KV淘汰；注意力偏置；预填充,是,"论文信息汇总.csv 序37：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2502.14317；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Extrapolating ultra-long contexts (text length >128K) remains a major challenge for large language models (LLMs), as most training-free extrapolation methods are not only severely limited by memory bo”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jing Xiong,LongEmotion: Measuring Emotional Intelligence of Large Language Models in Long-Context Interaction,2025,其他作者（共同一作/通讯待核验）,分析提取：情绪智能；长上下文；共情生成；检索增强；多智能体,是,"论文信息汇总.csv 序156：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2509.07403；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large language models (LLMs) have made significant progress in Emotional Intelligence (EI) and long-context modeling. However, existing benchmarks often overlook the fact that emotional information pr”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Jing Xiong,DoPE: Denoising Rotary Position Embedding,2025,共同一作,分析提取：RoPE；频谱分析；矩阵熵；噪声抑制；长度外推,是,"论文信息汇总.csv 序160：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_DoPE_ Denoising Rotary Position Embedding.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2511.09146；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Positional encoding is essential for large language models (LLMs) to represent sequence order, yet recent studies show that Rotary Position Embedding (RoPE) can induce massive activation. We investiga”。
；共同一作；预印本，等级不适用。"
Jing Xiong,SwingArena: Adversarial Programming Arena for Long-Context GitHub Issue Solving,2026,共同一作,分析提取：代码智能体；GitHub问题；持续集成；代码检索；竞争评测,是,"论文信息汇总.csv 序17：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_SwingArena_ Adversarial Programming Arena for Long-Context GitHub Issue Solving.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2505.23932；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“We present SwingArena, a competitive evaluation framework for Large Language Models (LLMs) that closely mirrors real-world software development workflows. Unlike traditional static benchmarks, SwingAr”。
；共同一作；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jing Xiong,ATTS: Asynchronous Test-Time Scaling via Conformal Prediction,2026,一作（按作者顺序）,分析提取：测试时扩展；保形预测；异步推理；推测解码；拒绝采样,是,"论文信息汇总.csv 序19：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_ATTS_ Asynchronous Test-Time Scaling via Conformal Prediction.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2509.15148；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“Large language models (LLMs) benefit from test-time scaling but are often hampered by high inference latency. Speculative decoding is a natural way to accelerate the scaling process; however, scaling ”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Jing Xiong,MMFormalizer: Multimodal Autoformalization in the Wild,2026,一作（按作者顺序）,分析提取：自动形式化；多模态；物理约束；公理组合；形式命题,是,"论文信息汇总.csv 序163：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2601.03017；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Autoformalization, which translates natural language mathematics into formal statements to enable machine reasoning, faces fundamental challenges in the wild due to the multimodal nature of the physic”。
；一作（按作者顺序）；预印本，等级不适用。"
Jing Xiong,The Granularity Axis: A Micro-to-Macro Latent Direction for Social Roles in Language Models,2026,其他作者（共同一作/通讯待核验）,分析提取：社会角色；表示方向；粒度；激活干预；机制解释,是,"论文信息汇总.csv 序172：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_The Granularity Axis_ A Micro-to-Macro Latent Direction for Social Roles in Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2605.06196；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large language models (LLMs) are routinely prompted to take on social roles ranging from individuals to institutions, yet it remains unclear whether their internal representations encode the granulari”。
；其他作者（共同一作/通讯待核验）；预印本，等级不适用。"
Jing Xiong,"Locate, Steer, and Improve: A Practical Survey of Actionable Mechanistic Interpretability in Large Language Models",2026,其他作者（非合著代表）,分析提取：语言模型；摘要生成；优化,否,"https://aclanthology.org/people/jing-xiong/；论文链接https://aclanthology.org/2026.findings-acl.502/；访问2026-09-17；可见作者原文：“Hengyuan Zhang, Zhihao Zhang, Ercong Nie, Mingyang Wang, Zunhai Su, Yiwei Wang, Qianli Wang, Shuzhou Yuan, Xufeng Duan, Qibo Xue, Zeping Yu, Chenming Shang, Xiao Liang, Jing Xiong, Hui Shen, Chaofan Tao, Zhengwu Liu, Senjie Jin, Zhiheng Xi, Dongdong Zhang, Sophia Ananiadou, Tao Gui, Ruobing Xie, Hayden Kwok-Hay So, Hinrich Schuetze, Xuanjing Huang, Qi Zhang, Ngai Wong”；其他作者（非合著代表）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Jing Xiong,TRIGO: Benchmarking Formal Mathematical Proof Reduction for Generative Language Models,2023,一作（按作者顺序）,分析提取：语言模型；推理；推断；预训练；模型评价,否,"https://aclanthology.org/people/jing-xiong/；论文链接https://aclanthology.org/2023.emnlp-main.711/；访问2026-09-17；可见作者原文：“Jing Xiong, Jianhao Shen, Ye Yuan, Haiming Wang, Yichun Yin, Zhengying Liu, Lin Li, Zhijiang Guo, Qingxing Cao, Yinya Huang, Chuanyang Zheng, Xiaodan Liang, Ming Zhang, Qun Liu”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Haiteng Zhao,GIM- LET: A Unified Graph-Text Model for Instruction-Based Molecule Zero-Shot Learning,2023,一作（按作者顺序）,分析提取：分子图；零样本学习；自然语言指令；图文模型；属性预测,是,"论文信息汇总.csv 序78：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2306.13089；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Molecule property prediction has gained significant attention in recent years. The main bottleneck is the label insufficiency caused by expensive lab experiments. In order to alleviate this issue and ”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Haiteng Zhao,Retrieved Sequence Augmentation for Protein Representation Learning,2024,其他作者（共同一作/通讯待核验）,分析提取：蛋白质；表示学习；序列检索；多序列比对；泛化,是,"论文信息汇总.csv 序54：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Retrieved Sequence Augmentation for Protein Representation Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.emnlp-main.104/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Protein Language Models traditionally depend on Multiple Sequence Alignments (MSA) to incorporate evolutionary knowledge. However, MSA-based approaches suffer from substantial computational overhead a”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Haiteng Zhao,Empowering Large Language Model Agents through Action Learning,2024,一作（按作者顺序）,分析提取：动作学习；经验学习；Python函数；智能体；试错,是,"论文信息汇总.csv 序56：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Empowering Large Language Model Agents through Action Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.15809；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large Language Model (LLM) Agents have recently garnered increasing interest yet they are limited in their ability to learn from trial and error, a key element of intelligent behavior. In this work, w”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Haiteng Zhao,Language Model Non-Myopic Generation for Reasoning and Planning,2025,其他作者（共同一作/通讯待核验）,分析提取：非短视生成；模型预测控制；前瞻轨迹；规划；解码,是,"论文信息汇总.csv 序42：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Language Model Non-Myopic Generation for Reasoning and Planning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.17195；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Large Language Models have demonstrated remarkable abilities in reasoning and planning by breaking down complex problems into sequential steps. Despite their success in various domains like mathematic”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Haiteng Zhao,BioMaze: Benchmarking and Enhancing Large Language Models for Biological Pathway Reasoning,2025,一作（按作者顺序）,分析提取：生物通路；系统扰动；图推理；子图导航；智能体,是,"论文信息汇总.csv 序151：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_BioMaze_ Benchmarking and Enhancing Large Language Models for Biological Pathway Reasoning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2502.16660；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The applications of large language models (LLMs) in various biological domains have been explored recently, but their reasoning ability in complex biological systems, such as pathways, remains underex”。
；一作（按作者顺序）；预印本，等级不适用。"
Haiteng Zhao,ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,其他作者（共同一作/通讯待核验）,分析提取：科学工作流；计算机智能体；多模态；任务评测；专业软件,是,"论文信息汇总.csv 序16：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2505.19897；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Large Language Models (LLMs) have extended their impact beyond Natural Language Processing, substantially fostering the development of interdisciplinary research. Recently, various LLM-based agents ha”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Haiteng Zhao,Intern-S2-Preview: Scientific Agentic Foundation Model,未公开,其他作者（非合著代表）,未公开（未获得可支持关键词提取的摘要）,否,"https://zhao-ht.github.io/haitengzhao/；论文链接https://arxiv.org/pdf/2608.13505；访问2026-09-17；可见作者原文：“Intern-S2-Preview Team, Shanghai AI Laboratory”；其他作者（非合著代表）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Haiteng Zhao,Achieving Olympia-Level Geometry Large Language Model Agent via Complexity Boosting Reinforcement Learning,2026,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://zhao-ht.github.io/haitengzhao/；论文链接https://arxiv.org/pdf/2512.10534；访问2026-09-17；可见作者原文：“Haiteng Zhao, Junhao Shen, Yiming Zhang, Songyang Gao, Kuikun Liu, Tianyou Ma, Fan Zheng, Dahua Lin, Wenwei Zhang, Kai Chen”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Haiteng Zhao,Are More Layers Beneficial to Graph Transformers?,2023,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://zhao-ht.github.io/haitengzhao/；论文链接https://arxiv.org/pdf/2303.00579.pdf；访问2026-09-17；可见作者原文：“Haiteng Zhao, Shuming Ma, Dongdong Zhang, Zhi-Hong Deng, Furu Wei”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Haiteng Zhao,Certified Robustness Against Natural Language Attacks by Causal Intervention,2022,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://zhao-ht.github.io/haitengzhao/；论文链接https://arxiv.org/pdf/2205.12331.pdf；访问2026-09-17；可见作者原文：“Haiteng Zhao‡, Chang Ma‡, Xinshuai Dong‡, Anh Tuan Luu, Zhi-Hong Deng, Hanwang Zhang”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Haiteng Zhao,Domain Adaptation via Mutual Information Maximization,2022,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://zhao-ht.github.io/haitengzhao/；论文链接https://arxiv.org/pdf/2110.12184.pdf；访问2026-09-17；可见作者原文：“Haiteng Zhao, Chang Ma, Qinyu Chen, Zhihong Deng”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Zhenyu Wu,Implicit Search via Discrete Diffusion: A Study on Chess,2025,其他作者（共同一作/通讯待核验）,分析提取：离散扩散；隐式搜索；国际象棋；世界状态；长期规划,是,"论文信息汇总.csv 序44：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2502.19805；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“In the post-AlphaGo era, there has been a renewed interest in search techniques such as Monte Carlo Tree Search (MCTS), particularly in their application to Large Language Models (LLMs). This renewed ”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Zhenyu Wu,ScienceBoard: Evaluating Multimodal Autonomous Agents in Realistic Scientific Workflows,2026,其他作者（共同一作/通讯待核验）,分析提取：科学工作流；计算机智能体；多模态；任务评测；专业软件,是,"论文信息汇总.csv 序16：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2505.19897；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Large Language Models (LLMs) have extended their impact beyond Natural Language Processing, substantially fostering the development of interdisciplinary research. Recently, various LLM-based agents ha”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Qintong Li,ZeroGen: Efficient Zero-shot Learning via Dataset Generation,2022,其他作者（共同一作/通讯待核验）,分析提取：零样本；数据生成；知识蒸馏；小模型；高效推理,是,"论文信息汇总.csv 序96：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_ZeroGen_ Efficient Zero-shot Learning via Dataset Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.emnlp-main.801/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第10页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing, pages 11653–11669”。
原文摘要依据：“There is a growing interest in dataset generation recently due to the superior generative capacity of large pre-trained language models (PLMs). In this paper, we study a flexible and efficient zero-sh”。
；其他作者（共同一作/通讯待核验）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Qintong Li,Event Transition Planning for Open-ended Text Generation,2022,一作（按作者顺序）,分析提取：事件规划；开放文本；因果关系；故事生成；粗到细,是,"论文信息汇总.csv 序106：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2022_Event Transition Planning for Open-ended Text Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2022.findings-acl.269/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
原文摘要依据：“Open-ended text generation tasks, such as dialogue generation and story completion, require models to generate a coherent continuation given limited preceding context. The open-ended nature of these t”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Qintong Li,Explanation Regeneration via Information Bottleneck,2023,一作（按作者顺序）,分析提取：解释生成；信息瓶颈；证据选择；充分性；简洁性,是,"论文信息汇总.csv 序82：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2023.findings-acl.765/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第9页；版本2026-01-27。
原文摘要依据：“Explaining the black-box predictions of NLP models naturally and accurately is an important open problem in natural language generation. These free-text explanations are expected to contain sufficient”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
