序号,导师姓名,论文标题,年份,尝试过的链接,失败原因,下一步建议
P45-A,"Kong, Lingpeng",G-LLaVA: Solving Geometric Problem with Multi-Modal Large Language Model,2025,https://arxiv.org/abs/2312.11370,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P45-R,"Kong, Lingpeng",G-LLaVA: Solving Geometric Problem with Multi-Modal Large Language Model,2025,https://arxiv.org/abs/2312.11370,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P45-F,"Kong, Lingpeng",G-LLaVA: Solving Geometric Problem with Multi-Modal Large Language Model,2025,https://arxiv.org/abs/2312.11370,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P46-C,"Kong, Lingpeng",Why Does the Effective Context Length of LLMs Fall Short?,2025,https://arxiv.org/abs/2410.18745,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P46-R,"Kong, Lingpeng",Why Does the Effective Context Length of LLMs Fall Short?,2025,https://arxiv.org/abs/2410.18745,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P46-F,"Kong, Lingpeng",Why Does the Effective Context Length of LLMs Fall Short?,2025,https://arxiv.org/abs/2410.18745,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P47-C,"Kong, Lingpeng",Scaling Diffusion Language Models via Adaptation from Autoregressive Models,2025,https://arxiv.org/abs/2410.17891,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P47-R,"Kong, Lingpeng",Scaling Diffusion Language Models via Adaptation from Autoregressive Models,2025,https://arxiv.org/abs/2410.17891,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P48-C,"Kong, Lingpeng",Forewarned is Forearmed: Harnessing LLMs for Data Synthesis via Failure-induced Exploration,2025,"https://openreview.net/forum?id=yitH9xAHQs
https://arxiv.org/abs/2410.16736",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P48-F,"Kong, Lingpeng",Forewarned is Forearmed: Harnessing LLMs for Data Synthesis via Failure-induced Exploration,2025,"https://openreview.net/forum?id=yitH9xAHQs
https://arxiv.org/abs/2410.16736",CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P48-V,"Kong, Lingpeng",Forewarned is Forearmed: Harnessing LLMs for Data Synthesis via Failure-induced Exploration,2025,"https://openreview.net/forum?id=yitH9xAHQs
https://arxiv.org/abs/2410.16736",已核对arXiv:2410.16736v1：标题为Forewarned is Forearmed: Leveraging LLMs for Data Synthesis through Failure-Inducing Exploration，作者顺序与CV正式版一致。原候选150合并入48，PDF为早期版本；正式发表状态仅由CV支持，待出版记录复核。；核验日期2026-09-17,保留原始版本和本次核对记录；需要精确复现时使用同一正式版本
P49-C,"Kong, Lingpeng",ImgTrojan: Jailbreaking Vision-Language Models with ONE Image,2025,"https://aclanthology.org/2025.naacl-long.360/
https://arxiv.org/abs/2403.02910",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P49-R,"Kong, Lingpeng",ImgTrojan: Jailbreaking Vision-Language Models with ONE Image,2025,"https://aclanthology.org/2025.naacl-long.360/
https://arxiv.org/abs/2403.02910",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P50-C,"Kong, Lingpeng",FactTrack: Time-Aware World State Tracking in Story Outlines,2025,"https://aclanthology.org/2025.naacl-long.144/
https://arxiv.org/abs/2407.16347",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P50-A,"Kong, Lingpeng",FactTrack: Time-Aware World State Tracking in Story Outlines,2025,"https://aclanthology.org/2025.naacl-long.144/
https://arxiv.org/abs/2407.16347",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P50-R,"Kong, Lingpeng",FactTrack: Time-Aware World State Tracking in Story Outlines,2025,"https://aclanthology.org/2025.naacl-long.144/
https://arxiv.org/abs/2407.16347",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P51-C,"Kong, Lingpeng",How Well Do LLMs Handle Cantonese? Benchmarking Cantonese Capabilities of Large Language Models,2025,"https://aclanthology.org/2025.findings-naacl.253/
https://arxiv.org/abs/2408.16756",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P51-R,"Kong, Lingpeng",How Well Do LLMs Handle Cantonese? Benchmarking Cantonese Capabilities of Large Language Models,2025,"https://aclanthology.org/2025.findings-naacl.253/
https://arxiv.org/abs/2408.16756",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P52-C,"Kong, Lingpeng",Diffusion of Thought: Chain-of-Thought Reasoning in Diffusion Language Models,2024,https://arxiv.org/abs/2402.07754,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P52-R,"Kong, Lingpeng",Diffusion of Thought: Chain-of-Thought Reasoning in Diffusion Language Models,2024,https://arxiv.org/abs/2402.07754,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P52-F,"Kong, Lingpeng",Diffusion of Thought: Chain-of-Thought Reasoning in Diffusion Language Models,2024,https://arxiv.org/abs/2402.07754,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P53-C,"Kong, Lingpeng",AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,2024,https://arxiv.org/abs/2401.13178,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P53-D,"Kong, Lingpeng",AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,2024,https://arxiv.org/pdf/2401.13178,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2024_AgentBoard_ An Analytical Evaluation Board of Multi-turn LLM Agents.pdf.part https://arxiv.org/pdf/2401.13178
curl: (28) Operation timed out after 35；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P53-A,"Kong, Lingpeng",AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,2024,https://arxiv.org/abs/2401.13178,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P53-R,"Kong, Lingpeng",AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,2024,https://arxiv.org/abs/2401.13178,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P53-F,"Kong, Lingpeng",AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,2024,https://arxiv.org/abs/2401.13178,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P54-C,"Kong, Lingpeng",Retrieved Sequence Augmentation for Protein Representation Learning,2024,"https://aclanthology.org/2024.emnlp-main.104/
https://www.biorxiv.org/content/10.1101/2023.02.22.529597v3
https://arxiv.org/abs/2302.12563",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P54-A,"Kong, Lingpeng",Retrieved Sequence Augmentation for Protein Representation Learning,2024,"https://aclanthology.org/2024.emnlp-main.104/
https://www.biorxiv.org/content/10.1101/2023.02.22.529597v3
https://arxiv.org/abs/2302.12563",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P54-R,"Kong, Lingpeng",Retrieved Sequence Augmentation for Protein Representation Learning,2024,"https://aclanthology.org/2024.emnlp-main.104/
https://www.biorxiv.org/content/10.1101/2023.02.22.529597v3
https://arxiv.org/abs/2302.12563",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P54-V,"Kong, Lingpeng",Retrieved Sequence Augmentation for Protein Representation Learning,2024,"https://aclanthology.org/2024.emnlp-main.104/
https://www.biorxiv.org/content/10.1101/2023.02.22.529597v3
https://arxiv.org/abs/2302.12563",正式ACL记录有Sheng Wang；下载的arXiv旧版未列Sheng Wang。研究内容用正式记录摘要；其署名单位待核验，其他作者单位未从旧版强行补入。；核验日期2026-09-17,保留原始版本和本次核对记录；需要精确复现时使用同一正式版本
P55-C,"Kong, Lingpeng",VLFeedback: A Large-Scale AI Feedback Dataset for Large Vision-Language Models Alignment,2024,"https://aclanthology.org/2024.emnlp-main.358/
https://arxiv.org/abs/2312.10665
https://arxiv.org/abs/2410.09421",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P55-A,"Kong, Lingpeng",VLFeedback: A Large-Scale AI Feedback Dataset for Large Vision-Language Models Alignment,2024,"https://aclanthology.org/2024.emnlp-main.358/
https://arxiv.org/abs/2312.10665
https://arxiv.org/abs/2410.09421",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P55-R,"Kong, Lingpeng",VLFeedback: A Large-Scale AI Feedback Dataset for Large Vision-Language Models Alignment,2024,"https://aclanthology.org/2024.emnlp-main.358/
https://arxiv.org/abs/2312.10665
https://arxiv.org/abs/2410.09421",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P55-V,"Kong, Lingpeng",VLFeedback: A Large-Scale AI Feedback Dataset for Large Vision-Language Models Alignment,2024,"https://aclanthology.org/2024.emnlp-main.358/
https://arxiv.org/abs/2312.10665
https://arxiv.org/abs/2410.09421",下载PDF标题Silkie: Preference Distillation for Large Visual Language Models，早期作者名单不含Qi Liu。ACL正式版标题为VLFeedback。合并关系由共同arXiv标识、作者核心名单与摘要研究内容支持；正文版本差异保留，新增作者单位待核验。；核验日期2026-09-17,保留原始版本和本次核对记录；需要精确复现时使用同一正式版本
P56-C,"Kong, Lingpeng",Empowering Large Language Model Agents through Action Learning,2024,https://arxiv.org/abs/2402.15809,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P56-R,"Kong, Lingpeng",Empowering Large Language Model Agents through Action Learning,2024,https://arxiv.org/abs/2402.15809,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P56-F,"Kong, Lingpeng",Empowering Large Language Model Agents through Action Learning,2024,https://arxiv.org/abs/2402.15809,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P57-C,"Kong, Lingpeng",Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,2024,https://arxiv.org/abs/2310.00280,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P57-D,"Kong, Lingpeng",Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,2024,https://arxiv.org/pdf/2310.00280,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2024_Corex_ Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration.pdf.part https://arxiv.org/pdf/2310.00280
curl: (28) Operation t；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P57-A,"Kong, Lingpeng",Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,2024,https://arxiv.org/abs/2310.00280,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P57-R,"Kong, Lingpeng",Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,2024,https://arxiv.org/abs/2310.00280,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P57-F,"Kong, Lingpeng",Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,2024,https://arxiv.org/abs/2310.00280,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P58-C,"Kong, Lingpeng",CoCA: Regaining Safety-awareness of Multimodal Large Language Models with Constitutional Calibration,2024,https://arxiv.org/abs/2409.11365,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P58-D,"Kong, Lingpeng",CoCA: Regaining Safety-awareness of Multimodal Large Language Models with Constitutional Calibration,2024,https://arxiv.org/pdf/2409.11365,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2024_CoCA_ Regaining Safety-awareness of Multimodal Large Language Models with Constitutional Calibration.pdf.part https://arxiv.org/pdf/2409.11365
curl: ；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P58-A,"Kong, Lingpeng",CoCA: Regaining Safety-awareness of Multimodal Large Language Models with Constitutional Calibration,2024,https://arxiv.org/abs/2409.11365,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P58-R,"Kong, Lingpeng",CoCA: Regaining Safety-awareness of Multimodal Large Language Models with Constitutional Calibration,2024,https://arxiv.org/abs/2409.11365,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P58-F,"Kong, Lingpeng",CoCA: Regaining Safety-awareness of Multimodal Large Language Models with Constitutional Calibration,2024,https://arxiv.org/abs/2409.11365,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P59-C,"Kong, Lingpeng",A Reparameterized Discrete Diffusion Model for Text Generation,2024,"https://arxiv.org/abs/2302.05737
https://github.com/HKUNLP/reparam-discrete-diffusion",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P59-R,"Kong, Lingpeng",A Reparameterized Discrete Diffusion Model for Text Generation,2024,"https://arxiv.org/abs/2302.05737
https://github.com/HKUNLP/reparam-discrete-diffusion",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P59-F,"Kong, Lingpeng",A Reparameterized Discrete Diffusion Model for Text Generation,2024,"https://arxiv.org/abs/2302.05737
https://github.com/HKUNLP/reparam-discrete-diffusion",CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P60-C,"Kong, Lingpeng",Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models,2024,"https://aclanthology.org/2024.acl-long.775/
https://arxiv.org/abs/2403.00231",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P60-D,"Kong, Lingpeng",Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models,2024,"https://aclanthology.org/2024.acl-long.775.pdf
https://arxiv.org/pdf/2403.00231","全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2024_Multimodal ArXiv_ A Dataset for Improving Scientific Comprehension of Large Vision-Language Models.pdf.part https://arxiv.org/pdf/2403.00231
curl: (2；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P60-A,"Kong, Lingpeng",Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models,2024,"https://aclanthology.org/2024.acl-long.775/
https://arxiv.org/abs/2403.00231",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P60-R,"Kong, Lingpeng",Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models,2024,"https://aclanthology.org/2024.acl-long.775/
https://arxiv.org/abs/2403.00231",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P61-C,"Kong, Lingpeng",L-Eval: Instituting Standardized Evaluation for Long Context Language Models,2024,"https://aclanthology.org/2024.acl-long.776/
https://arxiv.org/abs/2307.11088",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P61-R,"Kong, Lingpeng",L-Eval: Instituting Standardized Evaluation for Long Context Language Models,2024,"https://aclanthology.org/2024.acl-long.776/
https://arxiv.org/abs/2307.11088",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P62-C,"Kong, Lingpeng",PRoLoRA: Partial Rotation Empowers More Parameter-Efficient LoRA,2024,"https://aclanthology.org/2024.acl-long.156/
https://arxiv.org/abs/2402.16902",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P62-R,"Kong, Lingpeng",PRoLoRA: Partial Rotation Empowers More Parameter-Efficient LoRA,2024,"https://aclanthology.org/2024.acl-long.156/
https://arxiv.org/abs/2402.16902",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P63-C,"Kong, Lingpeng",GSM-Plus: A Comprehensive Benchmark for Evaluating the Robustness of LLMs as Mathematical Problem Solvers,2024,"https://aclanthology.org/2024.acl-long.163/
https://arxiv.org/abs/2402.19255",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P64-C,"Kong, Lingpeng",LoRA Meets Dropout under a Unified Framework,2024,"https://aclanthology.org/2024.findings-acl.119/
https://arxiv.org/abs/2403.00812",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P64-R,"Kong, Lingpeng",LoRA Meets Dropout under a Unified Framework,2024,"https://aclanthology.org/2024.findings-acl.119/
https://arxiv.org/abs/2403.00812",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P65-C,"Kong, Lingpeng",Achilles-Bench: A Challenging Benchmark for Low-Resource Evaluation,2024,"https://arxiv.org/abs/2303.03840
https://aclanthology.org/2024.findings-acl.123/",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P65-D,"Kong, Lingpeng",Achilles-Bench: A Challenging Benchmark for Low-Resource Evaluation,2024,"https://aclanthology.org/2024.findings-acl.123.pdf
https://arxiv.org/pdf/2303.03840","全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2024_Achilles-Bench_ A Challenging Benchmark for Low-Resource Evaluation.pdf.part https://arxiv.org/pdf/2303.03840
curl: (28) Operation timed out after 35；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P65-A,"Kong, Lingpeng",Achilles-Bench: A Challenging Benchmark for Low-Resource Evaluation,2024,"https://arxiv.org/abs/2303.03840
https://aclanthology.org/2024.findings-acl.123/",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P65-R,"Kong, Lingpeng",Achilles-Bench: A Challenging Benchmark for Low-Resource Evaluation,2024,"https://arxiv.org/abs/2303.03840
https://aclanthology.org/2024.findings-acl.123/",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P66-C,"Kong, Lingpeng",SEGO: Sequential Subgoal Optimization for Mathematical Problem-Solving,2024,"https://aclanthology.org/2024.acl-long.407/
https://arxiv.org/abs/2310.12960",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P66-R,"Kong, Lingpeng",SEGO: Sequential Subgoal Optimization for Mathematical Problem-Solving,2024,"https://aclanthology.org/2024.acl-long.407/
https://arxiv.org/abs/2310.12960",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P67-C,"Kong, Lingpeng",BBA: Bi-Modal Behavioral Alignment for Reasoning with Large Vision-Language Models,2024,"https://aclanthology.org/2024.findings-acl.433/
https://arxiv.org/abs/2402.13577",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P67-R,"Kong, Lingpeng",BBA: Bi-Modal Behavioral Alignment for Reasoning with Large Vision-Language Models,2024,"https://aclanthology.org/2024.findings-acl.433/
https://arxiv.org/abs/2402.13577",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P68-C,"Kong, Lingpeng",Large Language Models are not Fair Evaluators,2024,"https://aclanthology.org/2024.acl-long.511/
https://arxiv.org/abs/2305.17926",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P68-R,"Kong, Lingpeng",Large Language Models are not Fair Evaluators,2024,"https://aclanthology.org/2024.acl-long.511/
https://arxiv.org/abs/2305.17926",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P69-C,"Kong, Lingpeng",Self-Infilling Code Generation,2024,https://arxiv.org/abs/2311.17972,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P69-R,"Kong, Lingpeng",Self-Infilling Code Generation,2024,https://arxiv.org/abs/2311.17972,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P70-C,"Kong, Lingpeng",Training- Free Long-Context Scaling of Large Language Models,2024,https://arxiv.org/abs/2402.17463,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P70-A,"Kong, Lingpeng",Training- Free Long-Context Scaling of Large Language Models,2024,https://arxiv.org/abs/2402.17463,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P70-R,"Kong, Lingpeng",Training- Free Long-Context Scaling of Large Language Models,2024,https://arxiv.org/abs/2402.17463,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P71-C,"Kong, Lingpeng",Decomposing the Enigma: Subgoal-based Demonstration Learning for Formal Theorem Proving,2024,https://arxiv.org/abs/2305.16366,Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P71-D,"Kong, Lingpeng",Decomposing the Enigma: Subgoal-based Demonstration Learning for Formal Theorem Proving,2024,https://arxiv.org/pdf/2305.16366,"全文未下载：Command failed: curl -L -sS --connect-timeout 10 --max-time 35 -w %{http_code} -o /Users/kellybrown/Desktop/jiawei/ai导师可视化网站/港大/Kong, Lingpeng/论文/2024_Decomposing the Enigma_ Subgoal-based Demonstration Learning for Formal Theorem Proving.pdf.part https://arxiv.org/pdf/2305.16366
curl: (28) Operatio；核验日期2026-09-17",重试已记录的合法开放链接；核对标题及作者后更新下载状态
P71-A,"Kong, Lingpeng",Decomposing the Enigma: Subgoal-based Demonstration Learning for Formal Theorem Proving,2024,https://arxiv.org/abs/2305.16366,导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P71-R,"Kong, Lingpeng",Decomposing the Enigma: Subgoal-based Demonstration Learning for Formal Theorem Proving,2024,https://arxiv.org/abs/2305.16366,通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P71-F,"Kong, Lingpeng",Decomposing the Enigma: Subgoal-based Demonstration Learning for Formal Theorem Proving,2024,https://arxiv.org/abs/2305.16366,CV列出会议/期刊，但独立出版记录未核实；保留发表载体并标发表待核验；核验日期2026-09-17,打开已有正式记录链接核对发表状态
P72-C,"Kong, Lingpeng",Multilingual Machine Translation with Large Language Models: Empirical Results and Analysis,2024,"https://aclanthology.org/2024.findings-naacl.176/
https://arxiv.org/abs/2304.04675",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
