姓名,论文署名单位,当前单位,身份,职称,与导师的关系,共同论文数,首次合作年份,最近合作年份,共同研究方向,共同项目,关系证据,待核验问题,共同论文序号
Longxu Dou（论文 #8，身份待核验）,2025；论文#8；独立研究者,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,社会智能与角色控制,未公开,"论文信息汇总.csv 序8：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2412.03920；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (05/2025)”。
原文摘要依据：“Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/longxu-dou/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P8-C;P8-A;P8-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",8
Longxu Dou（论文 #33，身份待核验）,2025；论文#33；Sea AI Lab,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,社会智能与角色控制,未公开,"论文信息汇总.csv 序33：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Reasoning Does Not Necessarily Improve Role-Playing Ability.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-acl.537/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第5页；版本2026-01-27。
原文摘要依据：“The application of role-playing large language models (LLMs) is rapidly expanding in both academic and commercial domains, driving an increasing demand for high-precision role-playing models. Simultan”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/longxu-dou/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P33-C
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",33
Minzhi Li（论文 #8，身份待核验）,2025；论文#8；待核验（PDF姓名为Ella Li）,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,社会智能与角色控制,未公开,"论文信息汇总.csv 序8：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2412.03920；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (05/2025)”。
原文摘要依据：“Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P8-C;P8-A;P8-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",8
Qinghao Wang（论文 #8，身份待核验）,2025；论文#8；北京大学,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,社会智能与角色控制,未公开,"论文信息汇总.csv 序8：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2412.03920；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (05/2025)”。
原文摘要依据：“Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P8-C;P8-A;P8-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",8
Yu Guo（论文 #8，身份待核验）,2025；论文#8；哈尔滨工业大学,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,社会智能与角色控制,未公开,"论文信息汇总.csv 序8：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2412.03920；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (05/2025)”。
原文摘要依据：“Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P8-C;P8-A;P8-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",8
Yu Guo（论文 #148，身份待核验）,2024；论文#148；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,社会智能与角色控制,未公开,"论文信息汇总.csv 序148：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2410.10479；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The rapid advancement of large language models has accelerated their application in reasoning, with strategic reasoning drawing increasing attention. To evaluate the strategic reasoning capabilities o”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P148-C;P148-D;P148-A;P148-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",148
Haochuan Wang（论文 #8，身份待核验）,2025；论文#8；哈尔滨工业大学,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,社会智能与角色控制,未公开,"论文信息汇总.csv 序8：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2412.03920；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (05/2025)”。
原文摘要依据：“Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P8-C;P8-A;P8-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",8
Haochuan Wang（论文 #148，身份待核验）,2024；论文#148；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,社会智能与角色控制,未公开,"论文信息汇总.csv 序148：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2410.10479；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“The rapid advancement of large language models has accelerated their application in reasoning, with strategic reasoning drawing increasing attention. To evaluate the strategic reasoning capabilities o”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P148-C;P148-D;P148-A;P148-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",148
Chang Ma,"2023；论文#78；待核验
2024；论文#53；待核验
2024；论文#54；待核验
2024；论文#56；香港大学
2024；论文#65；待核验
2024；论文#144；待核验
2025；论文#8；香港大学
2025；论文#42；香港大学
2025；论文#151；香港大学
2026；论文#16；待核验",华盛顿大学,2022起；香港大学博士生；现为华盛顿大学博士后，准确分界待核验,博士后,导师—学生；共同指导,10,2023,2026,分子零样本学习；工具智能体与任务评测；蛋白质表示学习；语言迁移与学习能力评测；代码生成与纠错；社会智能与角色控制；推理与决策规划；生物通路推理,未公开,https://chang-github-00.github.io/-changma/；访问2026-09-17；原文依据：“postdoctoral researcher at the University of Washington”。历史指导/时间另见https://ikekonglp.github.io/lingpenk_cv.pdf第1-2页（版本2026-01-27）；校友更新见https://hkunlp.github.io/people/。核验状态：公开身份部分确认；局限见待核验问题。,"个人主页博士时间至2026-04，实验室校友页为2025；毕业及离组年份冲突待核验。
具体论文问题：P78-C;P78-D;P78-A;P78-R;P78-F;P53-C;P53-D;P53-A;P53-R;P53-F;P54-C;P54-A;P54-R;P54-V;P56-C;P56-R;P56-F;P65-C;P65-D;P65-A;P65-R;P144-C;P144-D;P144-A;P144-R;P8-C;P8-A;P8-R;P42-C;P42-R;P42-F;P151-C;P151-R;P16-C;P16-D;P16-A;P16-R;P16-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。;CP79;CP80",78;53;54;56;65;144;8;42;151;16
Jing Xiong,"2024；论文#147；待核验
2025；论文#9；待核验
2025；论文#29；香港大学
2025；论文#37；待核验
2025；论文#156；待核验
2025；论文#160；香港大学
2026；论文#17；香港大学
2026；论文#19；待核验
2026；论文#163；待核验
2026；论文#172；香港大学",香港大学,2024起；博士生（CV）,博士生,导师—学生；共同指导,10,2024,2026,检索增强生成；视觉自回归生成；长上下文建模与压缩；社会智能与角色控制；工具智能体与任务评测；推理部署与参数效率；形式化定理证明,未公开,https://menik1126.github.io/；访问2026-09-17；原文依据：“supervised by Prof. Yi Huang and Prof. Lingpeng Kong”。历史指导/时间另见https://ikekonglp.github.io/lingpenk_cv.pdf第1-2页（版本2026-01-27）；校友更新见https://hkunlp.github.io/people/。核验状态：公开身份部分确认；局限见待核验问题。,"CV共同指导者Ngai Wong，个人主页为Yi Huang；不将两人视为同一人，共同指导者待核验。
具体论文问题：P147-C;P147-A;P9-C;P9-A;P29-C;P37-C;P37-D;P37-A;P37-R;P37-F;P156-C;P156-D;P156-A;P156-R;P160-C;P17-C;P17-R;P17-V;P19-C;P19-A;P19-R;P163-C;P163-D;P163-A;P163-R;P172-C
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。;CP91;CP92",147;9;29;37;156;160;17;19;163;172
Gongye Liu（论文 #9，身份待核验）,2025；论文#9；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,视觉自回归生成,未公开,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P9-C;P9-A
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",9
Lun Huang（论文 #9，身份待核验）,2025；论文#9；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,视觉自回归生成,未公开,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P9-C;P9-A
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",9
Chengyue Wu（论文 #9，身份待核验）,2025；论文#9；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,视觉自回归生成,未公开,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P9-C;P9-A
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",9
Taiqiang Wu（论文 #9，身份待核验）,2025；论文#9；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,视觉自回归生成,未公开,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P9-C;P9-A
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",9
Taiqiang Wu（论文 #17，身份待核验）,2026；论文#17；香港大学,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,工具智能体与任务评测,未公开,"论文信息汇总.csv 序17：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_SwingArena_ Adversarial Programming Arena for Long-Context GitHub Issue Solving.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2505.23932；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“We present SwingArena, a competitive evaluation framework for Large Language Models (LLMs) that closely mirrors real-world software development workflows. Unlike traditional static benchmarks, SwingAr”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P17-C;P17-R;P17-V
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",17
Taiqiang Wu（论文 #163，身份待核验）,2026；论文#163；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,形式化定理证明,未公开,"论文信息汇总.csv 序163：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2601.03017；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Autoformalization, which translates natural language mathematics into formal statements to enable machine reasoning, faces fundamental challenges in the wild due to the multimodal nature of the physic”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P163-C;P163-D;P163-A;P163-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",163
Yao Mu（论文 #9，身份待核验）,2025；论文#9；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,视觉自回归生成,未公开,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P9-C;P9-A
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",9
Yuan Yao（论文 #9，身份待核验）,2025；论文#9；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,视觉自回归生成,未公开,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P9-C;P9-A
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",9
Hui Shen（论文 #9，身份待核验）,2025；论文#9；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,视觉自回归生成,未公开,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P9-C;P9-A
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",9
Hui Shen（论文 #17，身份待核验）,2026；论文#17；密歇根大学安娜堡分校,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,工具智能体与任务评测,未公开,"论文信息汇总.csv 序17：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_SwingArena_ Adversarial Programming Arena for Long-Context GitHub Issue Solving.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2505.23932；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“We present SwingArena, a competitive evaluation framework for Large Language Models (LLMs) that closely mirrors real-world software development workflows. Unlike traditional static benchmarks, SwingAr”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P17-C;P17-R;P17-V
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",17
Hui Shen（论文 #19，身份待核验）,2026；论文#19；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,推理部署与参数效率,未公开,"论文信息汇总.csv 序19：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2026_ATTS_ Asynchronous Test-Time Scaling via Conformal Prediction.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2509.15148；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2026”。
原文摘要依据：“Large language models (LLMs) benefit from test-time scaling but are often hampered by high inference latency. Speculative decoding is a natural way to accelerate the scaling process; however, scaling ”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P19-C;P19-A;P19-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",19
Hui Shen（论文 #156，身份待核验）,2025；论文#156；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,社会智能与角色控制,未公开,"论文信息汇总.csv 序156：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2509.07403；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Large language models (LLMs) have made significant progress in Emotional Intelligence (EI) and long-context modeling. However, existing benchmarks often overlook the fact that emotional information pr”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P156-C;P156-D;P156-A;P156-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",156
Hui Shen（论文 #160，身份待核验）,2025；论文#160；密歇根大学安娜堡分校,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,长上下文建模与压缩,未公开,"论文信息汇总.csv 序160：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_DoPE_ Denoising Rotary Position Embedding.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2511.09146；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Positional encoding is essential for large language models (LLMs) to represent sequence order, yet recent studies show that Rotary Position Embedding (RoPE) can induce massive activation. We investiga”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P160-C
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",160
Hui Shen（论文 #163，身份待核验）,2026；论文#163；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,形式化定理证明,未公开,"论文信息汇总.csv 序163：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2601.03017；访问2026-09-17；arXiv作者顺序和摘要。
原文摘要依据：“Autoformalization, which translates natural language mathematics into formal statements to enable machine reasoning, faces fundamental challenges in the wild due to the multimodal nature of the physic”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P163-C;P163-D;P163-A;P163-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",163
Zhongwei Wan（论文 #9，身份待核验）,2025；论文#9；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,视觉自回归生成,未公开,"论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/zhongwei-wan/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P9-C;P9-A
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",9
