序,论文标题,年份,作者,发表载体,条目类型,论文链接,被引次数,引用统计日期,引用来源网址,抓取日期,下载状态,备注
44,Implicit Search via Discrete Diffusion: A Study on Chess,2025,Jiacheng Ye；Zhenyu Wu；Jiahui Gao；Zhiyong Wu；Xin Jiang；Zhenguo Li；Lingpeng Kong,ICLR 2025,会议,"https://openreview.net/forum?id=A9y3LFX4ds
https://arxiv.org/abs/2502.19805",未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序44：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2502.19805；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“In the post-AlphaGo era, there has been a renewed interest in search techniques such as Monte Carlo Tree Search (MCTS), particularly in their application to Large Language Models (LLMs). This renewed ”。"
45,G-LLaVA: Solving Geometric Problem with Multi-Modal Large Language Model,2025,Jiahui Gao；Renjie Pi；Jipeng Zhang；Jiacheng Ye；Wanjun Zhong；Yufei Wang；Lanqing Hong；Jianhua Han；Hang Xu；Zhenguo Li；Lingpeng Kong,ICLR 2025,会议,https://arxiv.org/abs/2312.11370,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序45：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2312.11370；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Large language models (LLMs) have shown remarkable proficiency in human-level reasoning and generation capabilities, which encourages extensive research on their application in mathematical problem so”。"
46,Why Does the Effective Context Length of LLMs Fall Short?,2025,Chenxin An；Jun Zhang；Ming Zhong；Lei Li；Shansan Gong；Yao Luo；Jingjing Xu；Lingpeng Kong,ICLR 2025,会议,https://arxiv.org/abs/2410.18745,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序46：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Why Does the Effective Context Length of LLMs Fall Short_.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.18745；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
原文摘要依据：“Advancements in distributed training and efficient attention mechanisms have significantly expanded the context window sizes of large language models (LLMs). However, recent work reveals that the effe”。"
47,Scaling Diffusion Language Models via Adaptation from Autoregressive Models,2025,Shansan Gong；Shivam Agarwal；Yizhe Zhang；Jiacheng Ye；Lin Zheng；Mukai Li；Chenxin An；Peilin Zhao；Wei Bi；Jiawei Han；Hao Peng；Lingpeng Kong,ICLR 2025,会议,https://arxiv.org/abs/2410.17891,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序47：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Scaling Diffusion Language Models via Adaptation from Autoregressive Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.17891；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第6页；版本2026-01-27。
PDF发表标记：“Published as a conference paper at ICLR 2025”。
原文摘要依据：“Diffusion Language Models (DLMs) have emerged as a promising new paradigm for text generative modeling, potentially addressing limitations of autoregressive (AR) models. However, current DLMs have bee”。"
48,Forewarned is Forearmed: Harnessing LLMs for Data Synthesis via Failure-induced Exploration,2025,Qintong Li；Jiahui Gao；Sheng Wang；Renjie Pi；Xueliang Zhao；Chuan Wu；Xin Jiang；Zhenguo Li；Lingpeng Kong,ICLR 2025,会议,"https://openreview.net/forum?id=yitH9xAHQs
https://arxiv.org/abs/2410.16736",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
版本归并：原候选序150并入序48；候选标题“Forewarned is Forearmed: Leveraging LLMs for Data Synthesis through Failure-Inducing Exploration”；依据：完整作者顺序及ReverseGen研究内容一致，采用OpenReview正式版。
已核对arXiv:2410.16736v1：标题为Forewarned is Forearmed: Leveraging LLMs for Data Synthesis through Failure-Inducing Exploration，作者顺序与CV正式版一致。原候选150合并入48，PDF为早期版本；正式发表状态仅由CV支持，待出版记录复核。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序48：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Forewarned is Forearmed_ Harnessing LLMs for Data Synthesis via Failure-induced Exploration.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2410.16736；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large language models (LLMs) have significantly benefited from training on diverse, high-quality task-specific data, leading to impressive performance across a range of downstream applications. Curren”。"
49,ImgTrojan: Jailbreaking Vision-Language Models with ONE Image,2025,Xijia Tao；Shuai Zhong；Lei Li；Qi Liu；Lingpeng Kong,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),会议,"https://aclanthology.org/2025.naacl-long.360/
https://arxiv.org/abs/2403.02910",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序49：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_ImgTrojan_ Jailbreaking Vision-Language Models with ONE Image.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.naacl-long.360/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“There has been an increasing interest in the alignment of large language models (LLMs) with human values. However, the safety issues of their integration with a vision module, or vision language model”。"
50,FactTrack: Time-Aware World State Tracking in Story Outlines,2025,Zhiheng Lyu；Kevin Yang；Lingpeng Kong；Dan Klein,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),会议,"https://aclanthology.org/2025.naacl-long.144/
https://arxiv.org/abs/2407.16347",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序50：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_FactTrack_ Time-Aware World State Tracking in Story Outlines.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.naacl-long.144/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“While accurately detecting and correcting factual contradictions in language model outputs has become increasingly important as their capabilities improve, doing so is highly challenging. We propose a”。"
51,How Well Do LLMs Handle Cantonese? Benchmarking Cantonese Capabilities of Large Language Models,2025,Jiyue Jiang；Pengan Chen；Liheng Chen；Sheng Wang；Qinghang Bao；Lingpeng Kong；Yu Li；Chuan Wu,Findings of the Association for Computational Linguistics: NAACL 2025,会议,"https://aclanthology.org/2025.findings-naacl.253/
https://arxiv.org/abs/2408.16756",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序51：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_How Well Do LLMs Handle Cantonese_ Benchmarking Cantonese Capabilities of Large Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2025.findings-naacl.253/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“The rapid evolution of large language models (LLMs) has transformed the competitive landscape in natural language processing (NLP), particularly for English and other data-rich languages. However, und”。"
52,Diffusion of Thought: Chain-of-Thought Reasoning in Diffusion Language Models,2024,Jiacheng Ye；Shansan Gong；Liheng Chen；Lin Zheng；Jiahui Gao；Han Shi；Chuan Wu；Xin Jiang；Zhenguo Li；Wei Bi；Lingpeng Kong,NeurIPS 2024,会议,https://arxiv.org/abs/2402.07754,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序52：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Diffusion of Thought_ Chain-of-Thought Reasoning in Diffusion Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.07754；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Recently, diffusion models have garnered significant interest in the field of text processing due to their many potential advantages compared to conventional autoregressive models. In this work, we pr”。"
53,AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents,2024,Chang Ma；Junlei Zhang；Zhihao Zhu；Cheng Yang；Yujiu Yang；Yaohui Jin；Zhenzhong Lan；Lingpeng Kong；Junxian He,NeurIPS 2024,会议,https://arxiv.org/abs/2401.13178,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序53：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2401.13178；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Evaluating Large Language Models (LLMs) as general-purpose agents is essential for understanding their capabilities and facilitating their integration into practical applications. However, the evaluat”。"
54,Retrieved Sequence Augmentation for Protein Representation Learning,2024,Chang Ma；Haiteng Zhao；Lin Zheng；Jiayi Xin；Qintong Li；Lijun Wu；Zhihong Deng；Yang Young Lu；Qi Liu；Sheng Wang；Lingpeng Kong,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,会议,"https://aclanthology.org/2024.emnlp-main.104/
https://www.biorxiv.org/content/10.1101/2023.02.22.529597v3
https://arxiv.org/abs/2302.12563",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
正式ACL记录有Sheng Wang；下载的arXiv旧版未列Sheng Wang。研究内容用正式记录摘要；其署名单位待核验，其他作者单位未从旧版强行补入。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序54：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Retrieved Sequence Augmentation for Protein Representation Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.emnlp-main.104/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Protein Language Models traditionally depend on Multiple Sequence Alignments (MSA) to incorporate evolutionary knowledge. However, MSA-based approaches suffer from substantial computational overhead a”。"
55,VLFeedback: A Large-Scale AI Feedback Dataset for Large Vision-Language Models Alignment,2024,Lei Li；Zhihui Xie；Mukai Li；Shunian Chen；Peiyi Wang；Liang Chen；Yazheng Yang；Benyou Wang；Lingpeng Kong；Qi Liu,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,会议,"https://aclanthology.org/2024.emnlp-main.358/
https://arxiv.org/abs/2312.10665
https://arxiv.org/abs/2410.09421",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
版本归并：原候选序141并入序55；候选标题“Silkie: Preference Distillation for Large Visual Language Models”；依据：相同arXiv编号与作者名单。
下载PDF标题Silkie: Preference Distillation for Large Visual Language Models，早期作者名单不含Qi Liu。ACL正式版标题为VLFeedback。合并关系由共同arXiv标识、作者核心名单与摘要研究内容支持；正文版本差异保留，新增作者单位待核验。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序55：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_VLFeedback_ A Large-Scale AI Feedback Dataset for Large Vision-Language Models Alignment.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.emnlp-main.358/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“As large vision-language models (LVLMs) evolve rapidly, the demand for high-quality and diverse data to align these models becomes increasingly crucial. However, the creation of such data with human s”。"
56,Empowering Large Language Model Agents through Action Learning,2024,Haiteng Zhao；Chang Ma；Guoyin Wang；Jing Su；Lingpeng Kong；Jingjing Xu；Zhi-Hong Deng；Hongxia Yang,COLM 2024,会议,https://arxiv.org/abs/2402.15809,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序56：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_Empowering Large Language Model Agents through Action Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2402.15809；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large Language Model (LLM) Agents have recently garnered increasing interest yet they are limited in their ability to learn from trial and error, a key element of intelligent behavior. In this work, w”。"
57,Corex: Pushing the Boundaries of Complex Reasoning through Multi-Model Collaboration,2024,Qiushi Sun；Zhangyue Yin；Xiang Li；Zhiyong Wu；Xipeng Qiu；Lingpeng Kong,COLM 2024,会议,https://arxiv.org/abs/2310.00280,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序57：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2310.00280；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large Language Models (LLMs) are evolving at an unprecedented pace and have exhibited considerable capability in the realm of natural language processing (NLP) with world knowledge. Benefiting from ul”。"
58,CoCA: Regaining Safety-awareness of Multimodal Large Language Models with Constitutional Calibration,2024,Jiahui Gao；Renjie Pi；Tianyang Han；Han Wu；Lanqing Hong；Lingpeng Kong；Xin Jiang；Zhenguo Li,COLM 2024,会议,https://arxiv.org/abs/2409.11365,未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序58：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/2409.11365；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“The deployment of multimodal large language models (MLLMs) has demonstrated remarkable success in engaging in conversations involving visual inputs, thanks to the superior power of large language mode”。"
59,A Reparameterized Discrete Diffusion Model for Text Generation,2024,Lin Zheng；Jianbo Yuan；Lei Yu；Lingpeng Kong,COLM 2024,会议,"https://arxiv.org/abs/2302.05737
https://github.com/HKUNLP/reparam-discrete-diffusion",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序59：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_A Reparameterized Discrete Diffusion Model for Text Generation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2302.05737；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“This work studies discrete diffusion probabilistic models with applications to natural language generation. We derive an alternative yet equivalent formulation of the sampling from discrete diffusion ”。"
60,Multimodal ArXiv: A Dataset for Improving Scientific Comprehension of Large Vision-Language Models,2024,Lei Li；Yuqi Wang；Runxin Xu；Peiyi Wang；Xiachong Feng；Lingpeng Kong；Qi Liu,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),会议,"https://aclanthology.org/2024.acl-long.775/
https://arxiv.org/abs/2403.00231",未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序60：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.acl-long.775/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第7页；版本2026-01-27。
原文摘要依据：“Large vision-language models (LVLMs) excel across diverse tasks involving concrete images from natural scenes. However, their ability to interpret abstract figures, such as geometry shapes and scienti”。"
61,L-Eval: Instituting Standardized Evaluation for Long Context Language Models,2024,Chenxin An；Shansan Gong；Ming Zhong；Xingjian Zhao；Mukai Li；Jun Zhang；Lingpeng Kong；Xipeng Qiu,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),会议,"https://aclanthology.org/2024.acl-long.776/
https://arxiv.org/abs/2307.11088",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序61：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_L-Eval_ Instituting Standardized Evaluation for Long Context Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.776/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 14388–14411”。
原文摘要依据：“Recently, there has been growing interest in long-context scaling of large language models (LLMs). To facilitate research in this field, we propose L-Eval to institute a more standardized evaluation f”。"
62,PRoLoRA: Partial Rotation Empowers More Parameter-Efficient LoRA,2024,Sheng Wang；Boyang Xue；Jiacheng Ye；Jiyue Jiang；Liheng Chen；Lingpeng Kong；Chuan Wu,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),会议,"https://aclanthology.org/2024.acl-long.156/
https://arxiv.org/abs/2402.16902",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序62：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_PRoLoRA_ Partial Rotation Empowers More Parameter-Efficient LoRA.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.156/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 2829–2841”。
原文摘要依据：“With the rapid scaling of large language models (LLMs), serving numerouslow-rank adaptations (LoRAs) concurrently has become increasingly impractical,leading to unaffordable costs and necessitating mo”。"
63,GSM-Plus: A Comprehensive Benchmark for Evaluating the Robustness of LLMs as Mathematical Problem Solvers,2024,Qintong Li；Leyang Cui；Xueliang Zhao；Lingpeng Kong；Wei Bi,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),会议,"https://aclanthology.org/2024.acl-long.163/
https://arxiv.org/abs/2402.19255",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序63：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_GSM-Plus_ A Comprehensive Benchmark for Evaluating the Robustness of LLMs as Mathematical Problem Solvers.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.163/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 2961–2984”。
原文摘要依据：“Large language models (LLMs) have achieved impressive performance across various mathematical reasoning benchmarks. However, there are increasing debates regarding whether these models truly understan”。"
64,LoRA Meets Dropout under a Unified Framework,2024,Sheng Wang；Liheng Chen；Jiyue Jiang；Boyang Xue；Lingpeng Kong；Chuan Wu,Findings of the Association for Computational Linguistics: ACL 2024,会议,"https://aclanthology.org/2024.findings-acl.119/
https://arxiv.org/abs/2403.00812",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序64：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_LoRA Meets Dropout under a Unified Framework.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.findings-acl.119/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“With the remarkable capabilities, large language models (LLMs) have emergedas essential elements in numerous NLP applications, while parameter-efficientfinetuning, especially LoRA, has gained populari”。"
65,Achilles-Bench: A Challenging Benchmark for Low-Resource Evaluation,2024,Yudong Wang；Chang Ma；Qingxiu Dong；Zhifang Sui；Lingpeng Kong；Jingjing Xu,Findings of the Association for Computational Linguistics: ACL 2024,会议,"https://arxiv.org/abs/2303.03840
https://aclanthology.org/2024.findings-acl.123/",未获取,未获取,未获取,2026-09-17,未下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
版本归并：原候选序180并入序65；候选标题“Achilles-Bench: A Challenging Benchmark for Low-Resource Evaluation”；依据：摘要研究问题、11个数据集及作者核心名单一致，采用ACL正式版。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序65：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://aclanthology.org/2024.findings-acl.123/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“With promising yet saturated results in high-resource settings, low-resource datasets have gradually become crucial benchmarks (e.g., BigBench Hard, superGLUE) for evaluating the learning ability of a”。"
66,SEGO: Sequential Subgoal Optimization for Mathematical Problem-Solving,2024,Xueliang Zhao；Xinting Huang；Wei Bi；Lingpeng Kong,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),会议,"https://aclanthology.org/2024.acl-long.407/
https://arxiv.org/abs/2310.12960",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序66：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_SEGO_ Sequential Subgoal Optimization for Mathematical Problem-Solving.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.acl-long.407/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
PDF发表标记：“Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 7544–7565”。
原文摘要依据：“Large Language Models (LLMs) have driven substantial progress in artificial intelligence in recent years, exhibiting impressive capabilities across a wide range of tasks, including mathematical proble”。"
67,BBA: Bi-Modal Behavioral Alignment for Reasoning with Large Vision-Language Models,2024,Xueliang Zhao；Xinting Huang；Tingchen Fu；Qintong Li；Shansan Gong；Lemao Liu；Wei Bi；Lingpeng Kong,Findings of the Association for Computational Linguistics: ACL 2024,会议,"https://aclanthology.org/2024.findings-acl.433/
https://arxiv.org/abs/2402.13577",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；ACL；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序67：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2024_BBA_ Bi-Modal Behavioral Alignment for Reasoning with Large Vision-Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2024.findings-acl.433/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第8页；版本2026-01-27。
原文摘要依据：“Multimodal reasoning stands as a pivotal capability for large vision-language models (LVLMs). The integration with Domain-Specific Languages (DSL), offering precise visual representations, equips thes”。"
