序,年份,文章阶段（发表/预印本）,是否为一作/通讯,文章标题,被引次数,引用统计日期,引用来源网址,摘要,关键词,研究方向,研究内容,创新点,合作者姓名及其工作单位
91,2023,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,Self-Guided Noise-Free Data Generation for Efficient Zero-Shot Learning,未获取,未获取,未获取,"There is a rising interest in further exploring the zero-shot learning potential of large pre-trained language models (PLMs). A new paradigm called data-generation-based zero-shot learning has achieved impressive success. In this paradigm, the synthesized data from the PLM acts as the carrier of knowledge, which is used to train a task-specific model with orders of magnitude fewer parameters than the PLM, achieving both higher performance and efficiency than prompt-based zero-shot learning methods on PLMs. The main hurdle of this approach is that the synthesized data from PLM usually contains a significant portion of low-quality samples. Fitting on such data will greatly hamper the performance of the task-specific model, making it unreliable for deployment. Previous methods remedy this issue mainly by filtering synthetic data using heuristic metrics(e.g., output confidence), or refining the data with the help of a human expert, which comes with excessive manual tuning or expensive costs. In this paper, we propose a novel noise-robust re-weighting framework SunGen to automatically construct high-quality data for zero-shot classification problems. Our framework features the ability to learn the sample weights indicating data quality without requiring any human annotation. We theoretically and empirically verify the ability of our method to help construct good-quality synthetic datasets. Notably, SunGen-LSTM yields a 9.8% relative improvement than the baseline on average accuracy across eight different established text classification tasks.",分析提取：零样本学习；合成数据；噪声；重加权；文本分类,任务数据合成,"研究问题：零样本学习如何处理合成训练数据中的噪声？
采用方法：SunGen以抗噪重加权自动学习样本质量，不依赖人工标签。",通过理论和文本分类实验验证更高质量的合成数据。,"Jiahui Gao：待核验
Renjie Pi：待核验
Lin Yong：待核验
Hang Xu：待核验
Jiacheng Ye：待核验
Zhiyong Wu：待核验
Weizhong Zhang：待核验
Xiaodan Liang：待核验
Zhenguo Li：待核验"
92,2023,发表,一作 = 否（按作者顺序）；通讯 = 否,Toeplitz Neural Network for Sequence Modeling,未获取,未获取,未获取,"Sequence modeling has important applications in natural language processing and computer vision. Recently, the transformer-based models have shown strong performance on various sequence modeling tasks, which rely on attention to capture pairwise token relations, and position embedding to inject positional information. While showing good performance, the transformer models are inefficient to scale to long input sequences, mainly due to the quadratic space-time complexity of attention. To overcome this inefficiency, we propose to model sequences with a relative position encoded Toeplitz matrix and use a Toeplitz matrix-vector production trick to reduce the space-time complexity of the sequence modeling to log linear. A lightweight sub-network called relative position encoder is proposed to generate relative position coefficients with a fixed budget of parameters, enabling the proposed Toeplitz neural network to deal with varying sequence lengths. In addition, despite being trained on 512-token sequences, our model can extrapolate input sequence length up to 14K tokens in inference with consistent performance. Extensive experiments on autoregressive and bidirectional language modeling, image modeling, and the challenging Long-Range Arena benchmark show that our method achieves better performance than its competitors in most downstream tasks while being significantly faster. The code is available at https://github.com/OpenNLPLab/Tnn.",分析提取：Toeplitz矩阵；序列建模；相对位置；长度外推；计算复杂度,高效注意力与序列架构,"研究问题：序列模型如何降低复杂度并支持长度外推？
采用方法：使用相对位置编码的Toeplitz矩阵与快速矩阵向量乘法。",以固定参数预算获得对数线性复杂度和跨长度建模能力。,"Zhen Qin：待核验
Xiaodong Han：待核验
Weixuan Sun：待核验
Bowen He：待核验
Dong Li：待核验
Dongxu Li：待核验
Yuchao Dai：待核验
Yiran Zhong：待核验"
93,2023,发表,一作 = 否（按作者顺序）；通讯 = 待核验,DiffuSeq: Sequence to Sequence Text Generation with Diffusion Models,未获取,未获取,未获取,"Recently, diffusion models have emerged as a new paradigm for generative models. Despite the success in domains using continuous signals such as vision and audio, adapting diffusion models to natural language is under-explored due to the discrete nature of texts, especially for conditional generation. We tackle this challenge by proposing DiffuSeq: a diffusion model designed for sequence-to-sequence (Seq2Seq) text generation tasks. Upon extensive evaluation over a wide range of Seq2Seq tasks, we find DiffuSeq achieving comparable or even better performance than six established baselines, including a state-of-the-art model that is based on pre-trained language models. Apart from quality, an intriguing property of DiffuSeq is its high diversity during generation, which is desired in many Seq2Seq tasks. We further include a theoretical analysis revealing the connection between DiffuSeq and autoregressive/non-autoregressive models. Bringing together theoretical analysis and empirical evidence, we demonstrate the great potential of diffusion models in complex conditional language generation tasks. Code is available at \url{https://github.com/Shark-NLP/DiffuSeq}",分析提取：文本扩散；条件生成；序列到序列；多样性；非自回归,扩散文本生成,"研究问题：离散文本的条件生成如何适配扩散建模？
采用方法：DiffuSeq针对序列到序列任务设计文本扩散模型。",同时验证生成质量与多样性，并分析与自回归、非自回归模型的联系。,"Shansan Gong：上海人工智能实验室
Mukai Li：上海人工智能实验室
Jiangtao Feng：上海人工智能实验室
Zhiyong Wu：上海人工智能实验室"
94,2023,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 否,Unsupervised Explanation Generation via Correct Instantiations,未获取,未获取,未获取,"While large pre-trained language models (PLM) have shown their great skills at solving discriminative tasks, a significant gap remains when compared with humans for explanation-related tasks. Among them, explaining the reason why a statement is wrong (e.g., against commonsense) is incredibly challenging. The major difficulty is finding the conflict point, where the statement contradicts our real world. This paper proposes Neon, a two-phrase, unsupervised explanation generation framework. Neon first generates corrected instantiations of the statement (phase I), then uses them to prompt large PLMs to find the conflict point and complete the explanation (phase II). We conduct extensive experiments on two standard explanation benchmarks, i.e., ComVE and e-SNLI. According to both automatic and human evaluations, Neon outperforms baselines, even for those with human-annotated instantiations. In addition to explaining a negative prediction, we further demonstrate that Neon remains effective when generalizing to different scenarios.",分析提取：无监督；解释生成；正确实例；冲突定位；常识,解释生成,"研究问题：没有解释标注时，如何说明一句话为什么错误？
采用方法：Neon先生成正确实例，再据此寻找冲突点并产生解释。",两阶段无监督方法在常识与推理解释任务中得到验证。,"Sijie Chen：待核验
Zhiyong Wu：上海人工智能实验室
Jiangjie Chen：复旦大学
Zhixing Li：满帮集团
Yang Liu：清华大学"
95,2022,发表,一作 = 否（按作者顺序）；通讯 = 待核验,ProGen: Progressive Zero-shot Dataset Generation via In-context Feedback,未获取,未获取,未获取,"Recently, dataset-generation-based zero-shot learning has shown promising results by training a task-specific model with a dataset synthesized from large pre-trained language models (PLMs). The final task-specific model often achieves compatible or even better performance than PLMs under the zero-shot setting, with orders of magnitude fewer parameters.However, synthetic datasets have their drawbacks. They have long being suffering from the low-quality issue (e.g., low informativeness, redundancy). This explains why the massive synthetic data does not lead to better performance – a scenario we would expect in the human-labeled data. To improve the quality in dataset synthesis, we propose a progressive zero-shot dataset generation framework, ProGen, which leverages the feedback from the task-specific model to guide the generation of new training data via in-context examples.Extensive experiments on five text classification datasets demonstrate the effectiveness of the proposed approach. We also show ProGen achieves on-par or superior performance with only 1% synthetic dataset size, when comparing to baseline methods without in-context feedback.",分析提取：数据合成；零样本；任务反馈；上下文示例；渐进生成,任务数据合成,"研究问题：如何减少零样本合成数据中的低信息和重复样本？
采用方法：ProGen将小型任务模型的反馈作为上下文示例引导后续生成。",以逐步反馈提高样本利用率，减少达到相近性能所需的数据量。,"Jiacheng Ye：香港大学；上海人工智能实验室
Jiahui Gao：香港大学
Zhiyong Wu：上海人工智能实验室
Jiangtao Feng：上海人工智能实验室
Tao Yu：香港大学；华盛顿大学"
96,2022,发表,一作 = 否（按作者顺序）；通讯 = 待核验,ZeroGen: Efficient Zero-shot Learning via Dataset Generation,未获取,未获取,未获取,"There is a growing interest in dataset generation recently due to the superior generative capacity of large pre-trained language models (PLMs). In this paper, we study a flexible and efficient zero-short learning method, ZeroGen.Given a zero-shot task, we first generate a dataset from scratch using PLMs in an unsupervised manner. Then, we train a tiny task model (e.g., LSTM) under the supervision of the synthesized dataset. This approach allows highly efficient inference as the final task model only has orders of magnitude fewer parameters comparing to PLMs (e.g., GPT2-XL).Apart from being annotation-free and efficient, we argue that ZeroGen can also provide useful insights from the perspective of data-free model-agnostic knowledge distillation, and unreferenced text generation evaluation. Experiments and analysis on different NLP tasks, namely, text classification, question answering, and natural language inference, show the effectiveness of ZeroGen.",分析提取：零样本；数据生成；知识蒸馏；小模型；高效推理,任务数据合成,"研究问题：零样本任务能否用小模型获得更低的推理成本？
采用方法：ZeroGen先用预训练模型无监督生成数据，再训练小型任务模型。",把大模型知识转移到合成数据，支持无需标注的高效任务部署。,"Jiacheng Ye：香港大学；上海人工智能实验室
Jiahui Gao：香港大学
Qintong Li：香港大学
Hang Xu：华为诺亚方舟实验室
Jiangtao Feng：上海人工智能实验室
Zhiyong Wu：上海人工智能实验室
Tao Yu：香港大学；华盛顿大学"
97,2022,发表,一作 = 否（按作者顺序）；通讯 = 待核验,UnifiedSKG: Unifying and Multi-Tasking Structured Knowledge Grounding with Text-to-Text Language Models,未获取,未获取,未获取,"Structured knowledge grounding (SKG) leverages structured knowledge to complete user requests, such as semantic parsing over databases and question answering over knowledge bases. Since the inputs and outputs of SKG tasks are heterogeneous, they have been studied separately by different communities, which limits systematic and compatible research on SKG. In this paper, we overcome this limitation by proposing the UnifiedSKG framework, which unifies 21 SKG tasks into a text-to-text format, aiming to promote systematic SKG research, instead of being exclusive to a single task, domain, or dataset. We use UnifiedSKG to benchmark T5 with different sizes and show that T5, with simple modifications when necessary, achieves state-of-the-art performance on almost all of the 21 tasks. We further demonstrate that multi-task prefix-tuning improves the performance on most tasks, largely improving the overall performance. UnifiedSKG also facilitates the investigation of zero-shot and few-shot learning, and we show that T0, GPT-3, and Codex struggle in zero-shot and few-shot learning for SKG. We also use UnifiedSKG to conduct a series of controlled experiments on structured knowledge encoding variants across SKG tasks. UnifiedSKG is easily extensible to more tasks, and it is open-sourced at https://github.com/hkunlp/unifiedskg.",分析提取：结构化知识；语义解析；文本到文本；多任务；前缀微调,结构化知识理解,"研究问题：不同结构化知识任务如何共享统一训练与评测形式？
采用方法：UnifiedSKG将21项任务转化为文本到文本格式，并进行多任务前缀微调。",促进跨任务系统比较，揭示零样本和少样本结构化知识利用的困难。,"Tianbao Xie：待核验
Chen Henry Wu：待核验
Peng Shi：待核验
Ruiqi Zhong：待核验
Torsten Scholak：待核验
Michihiro Yasunaga：待核验
Chien-Sheng Wu：待核验
Ming Zhong：待核验
Pengcheng Yin：待核验
Sida I. Wang：待核验
Victor Zhong：待核验
Bailin Wang：待核验
Chengzu Li：待核验
Connor Boyle：待核验
Ansong Ni：待核验
Ziyu Yao：待核验
Dragomir Radev：待核验
Caiming Xiong：待核验
Rui Zhang：待核验
Noah A. Smith：待核验
Luke Zettlemoyer：待核验
Tao Yu：待核验"
98,2022,发表,一作 = 否（按作者顺序）；通讯 = 否,The Devil in Linear Transformer,未获取,未获取,未获取,"Linear transformers aim to reduce the quadratic space-time complexity of vanilla transformers. However, they usually suffer from degraded performances on various tasks and corpus. In this paper, we examine existing kernel-based linear transformers and identify two key issues that lead to such performance gaps: 1) unbounded gradients in the attention computation adversely impact the convergence of linear transformer models; 2) attention dilution which trivially distributes attention scores over long sequences while neglecting neighbouring structures. To address these issues, we first identify that the scaling of attention matrices is the devil in unbounded gradients, which turns out unnecessary in linear attention as we show theoretically and empirically. To this end, we propose a new linear attention that replaces the scaling operation with a normalization to stabilize gradients. For the issue of attention dilution, we leverage a diagonal attention to confine attention to only neighbouring tokens in early layers. Benefiting from the stable gradients and improved attention, our new linear transformer model, transNormer, demonstrates superior performance on text classification and language modeling tasks, as well as on the challenging Long-Range Arena benchmark, surpassing vanilla transformer and existing linear variants by a clear margin while being significantly more space-time efficient. The code is available at https://github.com/OpenNLPLab/Transnormer .",分析提取：线性Transformer；梯度稳定；注意力稀释；归一化；局部结构,高效注意力与序列架构,"研究问题：线性Transformer性能下降的关键原因是什么？
采用方法：分析无界梯度与注意力稀释，以归一化和早层局部注意力解决。",TransNormer兼顾梯度稳定和邻近结构，改善序列建模性能。,"Zhen Qin：待核验
Xiaodong Han：待核验
Weixuan Sun：待核验
Dongxu Li：待核验
Nick Barnes：待核验
Yiran Zhong：待核验"
99,2022,发表,一作 = 否（按作者顺序）；通讯 = 待核验,An Empirical Revisiting of Linguistic Knowledge Fusion in Language Understanding Tasks,未获取,未获取,未获取,"Though linguistic knowledge emerges during large-scale language model pretraining, recent work attempt to explicitly incorporate human-defined linguistic priors into task-specific fine-tuning. Infusing language models with syntactic or semantic knowledge from parsers has shown improvements on many language understanding tasks. To further investigate the effectiveness of structural linguistic priors, we conduct empirical study of replacing parsed graphs or trees with trivial ones (rarely carrying linguistic knowledge e.g., balanced tree) for tasks in the GLUE benchmark. Encoding with trivial graphs achieves competitive or even better performance in fully-supervised and few-shot settings. It reveals that the gains might not be significantly attributed to explicit linguistic priors but rather to more feature interactions brought by fusion layers. Hence we call for attention to using trivial graphs as necessary baselines to design advanced knowledge fusion methods in the future.",分析提取：语言知识；句法结构；知识融合；对照实验；特征交互,句法分析与结构化表示,"研究问题：显式语言结构带来的收益是否来自语言知识本身？
采用方法：用平衡树等平凡图替代真实句法、语义结构进行对照。",发现额外特征交互也能解释部分提升，建议加入平凡图基线。,"Changlong Yu：香港科技大学
Tianyi Xiao：香港科技大学
Yangqiu Song：香港科技大学
Wilfred Ng：香港科技大学"
100,2022,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,CoNT: Contrastive Neural Text Generation,未获取,未获取,未获取,"Recently, contrastive learning attracts increasing interests in neural text generation as a new solution to alleviate the exposure bias problem. It introduces a sequence-level training signal which is crucial to generation tasks that always rely on auto-regressive decoding. However, previous methods using contrastive learning in neural text generation usually lead to inferior performance. In this paper, we analyse the underlying reasons and propose a new Contrastive Neural Text generation framework, CoNT. CoNT addresses bottlenecks that prevent contrastive learning from being widely adopted in generation tasks from three aspects -- the construction of contrastive examples, the choice of the contrastive loss, and the strategy in decoding. We validate CoNT on five generation tasks with ten benchmarks, including machine translation, summarization, code comment generation, data-to-text generation and commonsense generation. Experimental results show that CoNT clearly outperforms the conventional training framework on all the ten benchmarks with a convincing margin. Especially, CoNT surpasses previous the most competitive contrastive learning method for text generation, by 1.50 BLEU on machine translation and 1.77 ROUGE-1 on summarization, respectively. It achieves new state-of-the-art on summarization, code comment generation (without external data) and data-to-text generation.",分析提取：文本生成；对比学习；暴露偏差；序列级目标；解码,可控文本生成与一致性,"研究问题：对比学习为何未充分改善神经文本生成？
采用方法：CoNT联合改进对比样本、损失和解码策略。",在翻译、摘要等多种生成任务验证序列级训练的收益。,"Chenxin An：复旦大学；上海人工智能实验室
Jiangtao Feng：上海人工智能实验室
Kai Lv：复旦大学
Xipeng Qiu：复旦大学
Xuanjing Huang：复旦大学；上海智能信息处理创新中心"
101,2022,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,A Contrastive Framework for Neural Text Generation,未获取,未获取,未获取,"Text generation is of great importance to many natural language processing applications. However, maximization-based decoding methods (e.g. beam search) of neural language models often lead to degenerate solutions -- the generated text is unnatural and contains undesirable repetitions. Existing approaches introduce stochasticity via sampling or modify training objectives to decrease probabilities of certain tokens (e.g., unlikelihood training). However, they often lead to solutions that lack coherence. In this work, we show that an underlying reason for model degeneration is the anisotropic distribution of token representations. We present a contrastive solution: (i) SimCTG, a contrastive training objective to calibrate the model's representation space, and (ii) a decoding method -- contrastive search -- to encourage diversity while maintaining coherence in the generated text. Extensive experiments and analyses on three benchmarks from two languages demonstrate that our proposed approach significantly outperforms current state-of-the-art text generation methods as evaluated by both human and automatic metrics.",分析提取：对比学习；对比搜索；表示空间；文本重复；连贯性,可控文本生成与一致性,"研究问题：文本生成怎样减少重复退化而保持连贯？
采用方法：SimCTG校准词元表示空间，并用对比搜索平衡多样性和上下文一致性。",将各向异性表示与生成退化联系起来，提供训练和解码的联合方案。,"Yixuan Su：剑桥大学
Tian Lan：腾讯AI Lab
Yan Wang：腾讯AI Lab
Dani Yogatama：Google DeepMind
Nigel Collier：剑桥大学"
102,2022,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 待核验,Audio-Visual Segmentation,未获取,未获取,未获取,"We propose to explore a new problem called audio-visual segmentation (AVS), in which the goal is to output a pixel-level map of the object(s) that produce sound at the time of the image frame. To facilitate this research, we construct the first audio-visual segmentation benchmark (AVSBench), providing pixel-wise annotations for the sounding objects in audible videos. Two settings are studied with this benchmark: 1) semi-supervised audio-visual segmentation with a single sound source and 2) fully-supervised audio-visual segmentation with multiple sound sources. To deal with the AVS problem, we propose a novel method that uses a temporal pixel-wise audio-visual interaction module to inject audio semantics as guidance for the visual segmentation process. We also design a regularization loss to encourage the audio-visual mapping during training. Quantitative and qualitative experiments on the AVSBench compare our approach to several existing methods from related tasks, demonstrating that the proposed method is promising for building a bridge between the audio and pixel-wise visual semantics. Code is available at https://github.com/OpenNLPLab/AVSBench.",分析提取：音视频分割；发声物体；像素定位；多声源；跨模态交互,音视频分割与描述,"研究问题：如何在视频帧中像素级定位发声物体？
采用方法：构建AVSBench，以时间像素级音视频交互引导分割。",建立单声源与多声源评测，并用正则化促进音画对应。,"Jinxing Zhou：待核验
Jianyuan Wang：待核验
Jiayi Zhang：待核验
Weixuan Sun：待核验
Jing Zhang：待核验
Stan Birchfield：待核验
Dan Guo：待核验
Meng Wang：待核验
Yiran Zhong：待核验"
103,2022,发表,一作 = 否（按作者顺序）；通讯 = 否,Linear Complexity Randomized Self-attention Mechanism,未获取,未获取,未获取,"Recently, random feature attentions (RFAs) are proposed to approximate the softmax attention in linear time and space complexity by linearizing the exponential kernel. In this paper, we first propose a novel perspective to understand the bias in such approximation by recasting RFAs as self-normalized importance samplers. This perspective further sheds light on an \emph{unbiased} estimator for the whole softmax attention, called randomized attention (RA). RA constructs positive random features via query-specific distributions and enjoys greatly improved approximation fidelity, albeit exhibiting quadratic complexity. By combining the expressiveness in RA and the efficiency in RFA, we develop a novel linear complexity self-attention mechanism called linear randomized attention (LARA). Extensive experiments across various domains demonstrate that RA and LARA significantly improve the performance of RFAs by a substantial margin.",分析提取：随机注意力；重要性采样；线性复杂度；softmax；无偏估计,高效注意力与序列架构,"研究问题：随机特征softmax近似的偏差如何理解和减少？
采用方法：从自归一化重要性采样推导随机注意力，再组合为线性LARA。",连接无偏估计与计算效率，改善多领域的近似质量。,"Lin Zheng：香港大学
Chong Wang：字节跳动"
104,2022,发表,一作 = 否（按作者顺序）；通讯 = 否,Ripple Attention for Visual Perception with Sub-quadratic Complexity,未获取,未获取,未获取,"Transformer architectures are now central to sequence modeling tasks. At its heart is the attention mechanism, which enables effective modeling of long-term dependencies in a sequence. Recently, transformers have been successfully applied in the computer vision domain, where 2D images are first segmented into patches and then treated as 1D sequences. Such linearization, however, impairs the notion of spatial locality in images, which bears important visual clues. To bridge the gap, we propose ripple attention, a sub-quadratic attention mechanism for vision transformers. Built upon the recent kernel-based efficient attention mechanisms, we design a novel dynamic programming algorithm that weights contributions of different tokens to a query with respect to their relative spatial distances in the 2D space in linear observed time. Extensive experiments and analyses demonstrate the effectiveness of ripple attention on various visual tasks.",分析提取：视觉注意力；空间距离；动态规划；局部性；计算复杂度,高效注意力与序列架构,"研究问题：视觉序列化如何保留二维空间邻近关系？
采用方法：Ripple Attention按空间距离加权，并以动态规划高效计算。",在次二次复杂度下恢复局部视觉线索。,"Lin Zheng：香港大学
Huijie Pan：香港大学"
105,2022,发表,一作 = 否（按作者顺序）；通讯 = 待核验,Linguistic Frameworks Go Toe-to-Toe at Neuro-Symbolic Language Modeling,未获取,未获取,未获取,"We examine the extent to which, in principle, different syntactic and semantic graph representations can complement and improve neural language modeling. Specifically, by conditioning on a subgraph encapsulating the locally relevant sentence history, can a model make better next-word predictions than a pretrained sequential language model alone? With an ensemble setup consisting of GPT-2 and ground-truth graphs from one of 7 different formalisms, we find that the graph information indeed improves perplexity and other metrics. Moreover, this architecture provides a new way to compare different frameworks of linguistic representation. In our oracle graph setup, training and evaluating on English WSJ, semantic constituency structures prove most useful to language modeling performance—outpacing syntactic constituency structures as well as syntactic and semantic dependency structures.",分析提取：神经符号；语言建模；句法图；语义图；困惑度,句法分析与结构化表示,"研究问题：不同句法、语义图能为语言建模提供多少额外信息？
采用方法：用GPT-2与七种真实图结构集成，对比下一词预测和困惑度。",在已知正确图的实验中，语义成分结构最有帮助；结论不等于自动解析场景效果。,"Jakob Prange：乔治城大学
Nathan Schneider：乔治城大学"
106,2022,发表,一作 = 否（按作者顺序）；通讯 = 否,Event Transition Planning for Open-ended Text Generation,未获取,未获取,未获取,"Open-ended text generation tasks, such as dialogue generation and story completion, require models to generate a coherent continuation given limited preceding context. The open-ended nature of these tasks brings new challenges to the neural auto-regressive text generators nowadays. Despite these neural models are good at producing human-like text, it is difficult for them to arrange causalities and relations between given facts and possible ensuing events. To bridge this gap, we propose a novel two-stage method which explicitly arranges the ensuing events in open-ended text generation. Our approach can be understood as a specially-trained coarse-to-fine algorithm, where an event transition planner provides a “coarse” plot skeleton and a text generator in the second stage refines the skeleton. Experiments on two open-ended text generation tasks demonstrate that our proposed method effectively improves the quality of the generated text, especially in coherence and diversity. We will release the codes to the community for further exploration.",分析提取：事件规划；开放文本；因果关系；故事生成；粗到细,可控文本生成与一致性,"研究问题：开放式故事和对话如何安排事件间的因果与关系？
采用方法：先由事件转移规划器生成粗略情节，再由文本模型细化。",粗到细生成改善连贯性和多样性。,"Qintong Li：香港大学
Piji Li：腾讯AI Lab
Wei Bi：腾讯AI Lab
Zhaochun Ren：山东大学
Yuxuan Lai：香港大学"
107,2022,发表,一作 = 否（按作者顺序）；通讯 = 否,Lexical Knowledge Internalization for Neural Dialog Generation,未获取,未获取,未获取,"We propose knowledge internalization (KI), which aims to complement the lexical knowledge into neural dialog models. Instead of further conditioning the knowledge-grounded dialog (KGD) models on externally retrieved knowledge, we seek to integrate knowledge about each input token internally into the model’s parameters. To tackle the challenge due to the large scale of lexical knowledge, we adopt the contrastive learning approach and create an effective token-level lexical knowledge retriever that requires only weak supervision mined from Wikipedia. We demonstrate the effectiveness and general applicability of our approach on various datasets and diversified model structures.",分析提取：对话生成；词汇知识；知识内化；对比学习；弱监督,支持性对话,"研究问题：对话模型如何把词汇知识融入内部参数？
采用方法：用维基百科弱监督训练对比式词元知识检索器，再进行知识内化。",在多种对话模型与数据上验证内部知识增强的通用性。,"Zhiyong Wu：香港大学；上海人工智能实验室
Wei Bi：腾讯AI Lab
Xiang Li：华东师范大学
Ben Kao：香港大学"
108,2022,发表,一作 = 否（按作者顺序）；通讯 = 待核验,ABC: Attention with Bounded-memory Control,未获取,未获取,未获取,"Transformer architectures have achieved state- of-the-art results on a variety of natural language processing (NLP) tasks. However, their attention mechanism comes with a quadratic complexity in sequence lengths, making the computational overhead prohibitive, especially for long sequences. Attention context can be seen as a random-access memory with each token taking a slot. Under this perspective, the memory size grows linearly with the sequence length, and so does the overhead of reading from it. One way to improve the efficiency is to bound the memory size. We show that disparate approaches can be subsumed into one abstraction, attention with bounded-memory control (ABC), and they vary in their organization of the memory. ABC reveals new, unexplored possibilities. First, it connects several efficient attention variants that would otherwise seem apart. Second, this abstraction gives new insights—an established approach (Wang et al., 2020b) previously thought to not be applicable in causal attention, actually is. Last, we present a new instance of ABC, which draws inspiration from existing ABC approaches, but replaces their heuristic memory-organizing functions with a learned, contextualized one. Our experiments on language modeling, machine translation, and masked language model finetuning show that our approach outperforms previous efficient attention models; compared to the strong transformer baselines, it significantly improves the inference time and space efficiency with no or negligible accuracy loss.",分析提取：有界内存；注意力；上下文化；长序列；推理效率,高效注意力与序列架构,"研究问题：注意力内存如何固定大小而尽量保留建模能力？
采用方法：ABC把高效注意力统一为有界内存控制，并学习上下文化的内存组织。",连接不同注意力变体，在语言与翻译任务改善时空效率。,"Hao Peng：华盛顿大学
Jungo Kasai：华盛顿大学
Nikolaos Pappas：Amazon Web Services
Dani Yogatama：Google DeepMind
Zhaofeng Wu：Allen AI
Roy Schwartz：耶路撒冷希伯来大学
Noah A. Smith：华盛顿大学；Allen AI"
109,2022,发表,一作 = 否（按作者顺序）；通讯 = 否,cosFormer: Rethinking Softmax In Attention,未获取,未获取,未获取,"Transformer has shown great successes in natural language processing, computer vision, and audio processing. As one of its core components, the softmax attention helps to capture long-range dependencies yet prohibits its scale-up due to the quadratic space and time complexity to the sequence length. Kernel methods are often adopted to reduce the complexity by approximating the softmax operator. Nevertheless, due to the approximation errors, their performances vary in different tasks/corpus and suffer crucial performance drops when compared with the vanilla softmax attention. In this paper, we propose a linear transformer called cosFormer that can achieve comparable or better accuracy to the vanilla transformer in both casual and cross attentions. cosFormer is based on two key properties of softmax attention: i). non-negativeness of the attention matrix; ii). a non-linear re-weighting scheme that can concentrate the distribution of the attention matrix. As its linear substitute, cosFormer fulfills these properties with a linear operator and a cosine-based distance re-weighting mechanism. Extensive experiments on language modeling and text understanding tasks demonstrate the effectiveness of our method. We further examine our method on long sequences and achieve state-of-the-art performance on the Long-Range Arena benchmark. The source code is available at https://github.com/OpenNLPLab/cosFormer.",分析提取：线性注意力；余弦重加权；softmax；非负性；长序列,高效注意力与序列架构,"研究问题：线性注意力如何保留softmax的非负性与集中分布？
采用方法：cosFormer结合线性算子和余弦距离重加权。",在因果、交叉注意力及长序列任务保持效率与准确率。,"Zhen Qin：待核验
Weixuan Sun：待核验
Hui Deng：待核验
Dongxu Li：待核验
Yunshen Wei：待核验
Baohong Lv：待核验
Junjie Yan：待核验
Yiran Zhong：待核验"
110,2022,发表,一作 = 否（按作者顺序）；通讯 = 待核验,Revisiting Over-smoothing in BERT from the Perspective of Graph,未获取,未获取,未获取,"Recently over-smoothing phenomenon of Transformer-based models is observed in both vision and language fields. However, no existing work has delved deeper to further investigate the main cause of this phenomenon. In this work, we make the attempt to analyze the over-smoothing problem from the perspective of graph, where such problem was first discovered and explored. Intuitively, the self-attention matrix can be seen as a normalized adjacent matrix of a corresponding graph. Based on the above connection, we provide some theoretical analysis and find that layer normalization plays a key role in the over-smoothing issue of Transformer-based models. Specifically, if the standard deviation of layer normalization is sufficiently large, the output of Transformer stacks will converge to a specific low-rank subspace and result in over-smoothing. To alleviate the over-smoothing problem, we consider hierarchical fusion strategies, which combine the representations from different layers adaptively to make the output more diverse. Extensive experiment results on various data sets illustrate the effect of our fusion method.",分析提取：BERT；过平滑；图传播；层归一化；层次融合,句法分析与结构化表示,"研究问题：BERT层数增加后的表示过平滑由什么引起？
采用方法：从图传播角度分析层归一化，并自适应融合不同层表示。",给出低秩收敛条件与层次融合缓解方法。,"Han Shi：香港科技大学
Jiahui Gao：香港大学
Hang Xu：华为诺亚方舟实验室
Xiaodan Liang：中山大学
Zhenguo Li：华为诺亚方舟实验室
Stephen M. S. Lee：香港大学
James Kwok：待核验"
111,2021,发表,一作 = 否（按作者顺序）；通讯 = 待核验,Cascaded Head-colliding Attention,未获取,未获取,未获取,"Transformers have advanced the field of natural language processing (NLP) on a variety of important tasks. At the cornerstone of the Transformer architecture is the multi-head attention (MHA) mechanism which models pairwise interactions between the elements of the sequence. Despite its massive success, the current framework ignores interactions among different heads, leading to the problem that many of the heads are redundant in practice, which greatly wastes the capacity of the model. To improve parameter efficiency, we re-formulate the MHA as a latent variable model from a probabilistic perspective. We present cascaded head-colliding attention (CODA) which explicitly models the interactions between attention heads through a hierarchical variational distribution. We conduct extensive experiments and demonstrate that CODA outperforms the transformer baseline, by 0.6 perplexity on Wikitext-103 in language modeling, and by 0.6 BLEU on WMT14 EN-DE in machine translation, due to its improvements on the parameter efficiency.",分析提取：多头注意力；潜变量；变分分布；头间交互；参数效率,高效注意力与序列架构,"研究问题：多头注意力如何减少头部冗余？
采用方法：CODA用潜变量和层次变分分布显式建模头间交互。",提高注意力参数利用率，并在语言建模和翻译中验证。,"Lin Zheng：香港大学；中山大学
Zhiyong Wu：香港大学"
